unit,duration,partner,sex,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,N1-3,WORLD,F,MT	51801 	50195 	40834 	39679 	41183 	43289 	41228 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,F,NL	4011423 	4095590 	4092912 	3977864 	4038709 	3873135 	4187164 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,F,NO	1667728 	1610088 	1557073 	1561057 	1576532 	1609798 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,F,PL	7477444 	7170790 	6981082 	6340263 	6093596 	4860000 	5110000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,F,PT	1544110 	1411321 	1452249 	1372984 	1307060 	1376630 	1147764 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,F,RO	1270959 	1311626 	1140287 	1245213 	1192063 	1209937 	1045010 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,F,SE	2806241 	2870037 b	1745434 	1668532 	1602020 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,F,SI	326155 	320527 	331654 	259514 	303680 e	276355 e	309793 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,F,SK	1210243 	1070164 	740374 	656062 	587428 	636721 b	352937 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,F,UK	: 	: 	5886280 	6516000 	6617500 	6034300 	2256000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,AT	: 	2080056 	2134146 	2054236 	1990860 	1999401 	1989045 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,BE	1881678 	1752557 b	1519558 	1434221 	1290775 	1325509 	1093829 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,BG	622441 	679655 	523257 	506925 	544070 	319944 	275964 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,CH	2385093 	2381967 	2334002 	2203781 	2175048 	2215220 	2029692 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,CY	136310 e	118024 e	131972 e	114024 e	118946 e	102246 e	153261 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,CZ	2987956 	3145050 	3086986 	3008111 	2999879 	2708362 	2775193 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,DE	23703686 	22401153 	25835609 	24046982 	24037372 	25369759 	25009354 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,DK	700597 e	707414 e	984849 	983487 	1105538 	1102566 	968259 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,EA	67476491 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,EE	388741 	314371 	281997 	280562 	325828 	270749 	268359 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,EL	568776 	530395 	446462 	506849 	512576 	418384 	628434 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,ES	9655929 	9926358 	9105685 	8985026 b	7071269 	7012868 	7002583 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,EU25	89709534 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,EU27	91716590 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,EU28	92193351 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,FI	1902976 	1949049 	1945550 	1843609 	1891593 	1863571 	1905642 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,FR	13919565 	13889970 	13460890 	12927533 	12465801 	12626240 	12873982 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,HR	476761 	383866 	406296 	442491 b	523950 	661941 	549895 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,HU	1756749 	1801813 	1706536 	1599183 	1590088 	1442899 	1567586 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,IE	908855 	911463 	843539 	801100 	825977 	737717 	808191 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,IT	5383470 	4777126 	5534644 	5148701 	4657736 b	4929111 	5883898 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,LT	362681 	369547 	370215 	368793 	361377 	383566 	340519 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,LU	182199 	164370 	128635 	140898 	116463 	128673 	101004 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,LV	: 	363474 	384214 	373131 	354358 	354085 	319880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,ME	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,MK	109119 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,MT	50611 	52780 	58678 	42121 	46397 	42226 	43872 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,NL	3854813 	3710719 	3711554 	3482370 	3677432 	3745136 	3866764 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,NO	1754530 	1642450 	1574410 	1591938 	1617846 	1572001 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,PL	6899940 	6592389 	6427244 	6039136 	5492204 	5240000 	5700000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,PT	1331191 	1249356 	1278409 	1251718 	1167540 	1226107 	1075987 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,RO	1384615 	1438920 	1259974 	1372791 	1300224 	1279846 	1010164 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,SE	2714835 	2777202 b	1826941 	1702013 	1572400 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,SI	339075 	304910 	333095 	278573 	277484 e	283058 e	329701 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,SK	1185952 	1027742 	776606 	702365 	616361 	608792 b	281153 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,M,UK	: 	: 	6354870 	5615100 	6846000 	5735400 	2326000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,AT	: 	4324150 	4292276 	4195713 	4130375 	4264321 	4119170 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,BE	3865563 	3593973 b	3206234 	2970031 	2665112 	2863748 	2206533 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,BG	1255204 	1359755 	1027332 	1024039 	1072023 	656285 	545011 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,CH	4752932 	4713670 	4666464 	4557444 	4345410 	4372054 	4276835 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,CY	283357 e	248715 e	274419 e	239165 e	246994 e	212165 e	303695 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,CZ	6076089 	6374793 	6247174 	6107778 	6226692 	5527683 	5658708 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,DE	49230610 	46337128 	50657581 	48199996 	49029356 	50068574 	49895720 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,DK	1537807 e	1572274 e	2079622 	2009893 	2218049 	2114792 	2041126 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,EA	138976575 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,EE	811403 	700280 	606113 	570830 	713966 	596824 	584471 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,EL	1190292 	1121788 	951804 	1077222 	1080235 	856216 	1300026 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,ES	19439037 	20150650 	18417748 	17901013 b	14485336 	14398283 	14344187 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,EU25	184124992 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,EU27	188035770 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,EU28	188994541 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,FI	3847716 	3886110 	3878073 	3792187 	3821595 	3769445 	3850333 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,FR	29337802 	28902754 	26129306 	26356314 	26163620 	26050136 	26484794 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
