unit,purpose,duration,partner,sex,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
THS_EUR,PERS,N_GE4,OUT,F,LV	171429.67 	190760.19 	170970.37 	156799.03 	204300.58 	187518.74 	184767.05 	269955 	291947 	270959 	362011 	189650 	156896 	114859 	79710 	76593 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,F,MT	176035.72 	155662.72 	162115.59 	114729.62 	116068.15 b	114739.1 	103180.92 	83686 	78262 	77727 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,F,NL	7023105.74 	6871348.51 	5348270.54 	5035758.63 	4966977.86 	4999793.49 	5338991.57 b	5080000 	4851000 	4868000 	5316000 	4497000 	4259000 	4268000 	4021000 	3973000 	3863000 	3665000 	3644763 	3418326 	3471687 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,F,NO	3725111.47 	4583646.15 	4307691.79 	4185205.16 	4264831.03 	3901616.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,F,PL	: 	2892651.23 	2446137.26 	2471652.99 	2345710.51 b	2507900.28 	2024695.69 	497500 e	550730 	533783 	774465 e	589370 	464591 e	499627 e	382168 e	347760 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,F,PT	421794.51 	349577.04 	260062.61 	358149.83 	276838.75 	206965.29 	210421.95 	205169 	381525 	400777 	: u	359415 	351275 	415534 	393822 	254476 	282691 	257624 	259916 	261348 	199144 	179113 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,F,RO	: 	258607.27 	189149.01 	196376.48 	180268.53 	169180.67 	124731.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,F,SE	: 	: 	1519252.53 	1855118.66 	1911338.27 	: 	: 	3727547 	3352731 	2961927 	3085739 	2811105 	2447160 	: 	: 	: 	: 	: 	: 	: 	: 	1872830 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,F,SI	327545.61 	283774.27 	308140.73 	281414.15 	255075.77 	243466.33 	232101.14 	286868 	280463 	303625 	253627 	245356 	216310 	176139 	167135 	147108 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,F,SK	864427.79 	723827.85 	561156.51 	601272.71 	531015.53 	503495.08 b	697206.26 	674210 	519901 	738113 	695333 	672944 	498703 	399754 	423082 	342836 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,F,UK	: 	: 	: 	: 	: 	14008733.84 	: u	12506919 	12328593 	12148966 	15268499 	16380746 	: 	: 	27573748 	24429871 	26632434 	26807520 	27265791 	17109308 	15295358 	12961069 	9192699 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,AT	3853468.1 	3736744.35 	3286780.81 	3156834.58 	3025583.93 	3122181.64 	2787498.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,BE	3178852.23 	2912518.11 b	3236769.94 	2953151.76 	3056227.3 	3211942.18 	2214688.81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,BG	112532.05 	114748.62 	83607.21 	62524.49 	67071.41 	52592.7 	58105.27 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,CH	5717883.7 	5505314.08 	5474703.17 	5158381.95 	4608580.23 	4556263.43 	4361776.22 	3976498 	3349229 	3238062 	2856873 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,CY	494610.71 	419057.19 	415573.86 	356846.35 	353027.57 	283503.98 	216759.47 b	295640 	298720 	: 	337241 	285061 	232834 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,CZ	1349834.38 	1191039.2 	1082354.46 	940231.7 	922711.11 	1000776.96 	920121.36 	: 	: 	: 	: 	1179448 	955320 	934747 	889410 	890986 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,DE	46068634.4 	33941026.31 	29133087.27 	27010890.66 	26595608.11 	27651635.12 	25393050.94 	26147740 	23616000 	22332280 	24007000 	23339000 	34053405 	30534019 	33033000 	43834000 	36739000 	38142374 	40163495 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,DK	3949690.52 	3724230.89 	2465207.42 	1785860.01 	1931879.02 b	1703917.62 b	1565330.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,EE	445833.52 	196060.02 	163584.27 	193404.57 	150161.19 	142128.62 	83965.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,EL	194924.87 	133982.09 	136028.12 	131080.56 	136750.53 	129868.54 	93780.54 	165834 	280248 	283881 	529653 	374887 	462616 	411406 	260721 	202593 	148570 	143380 	137467 	103427 	100979 	123851 	148317 	572894 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,ES	4923090.88 	4141645.57 	4004054.18 	3867322.59 b	2562103.45 	2542012.59 	2578109.25 	3066640 	3165677 	2852800 	2685497 	2953485 	2706489 	2421018 	1383030 	1138902 	1049789 	1074864 	1239760 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,FI	2585101.94 	2235093.52 	2223262.73 	2042159.82 	1995540.17 	2239947.03 	2126418.96 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,FR	19398027.42 	10355322.22 	9218531.76 	8762053.14 	10221270.54 	9547429.56 	8939828.1 b	10530390 	9474659 	8636323 	: 	7080000 	6209000 	6033000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,HR	198644.26 	193951.77 	145177.44 	293942.49 	290471.98 	254670.77 	232919.1 	288343 	252508 	401927 	333649 	396203 	: 	: 	74193 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,HU	649614.83 	614649.82 	548982.95 	530998.83 	503061.46 	384092.18 	407824.91 	352153 	379211 	438455 	575679 	530368 	390210 	549288 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,IE	2096728.03 	1975914.93 	1921265.54 	1722208.42 	1622136.94 	1607481.12 	1657446.51 	1455700 	1721400 	1710000 	2223000 	2420500 	: 	1393900 	1159000 	1128300 	1081100 	935300 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,IT	3368811.99 	2597677.75 	2226469.36 	2139786.66 	2710077.41 b	3083841.13 	3818650.6 	: u	: u	: u	: u	5171324 	4996645 	4296201 	3856837 	3960798 	3751371 	3501329 	3766582 	3825611 	3298692 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,LT	286416.56 	278752.08 	260381.31 	227714.11 	232665.51 	244799.17 	227356.88 	: 	172280 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,LU	631693.29 	649828.72 	453137 	429980.74 	503378.38 	435604 	424254.48 	371830 	343780 	377260 	315010 	322080 b	768440 	785685 	789739 	719795 	743652 	545603 	482457 	416219 	411730 	412553 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,LV	135032.62 	154308.97 	92160.16 	113548.75 	150363.34 	110663.24 	111070.16 	84657 	76453 	83939 	135068 	157799 	126433 	81718 	60266 	76039 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,MT	204788.25 	159430.82 	149865.98 	124536.1 	104711.97 b	123624.36 	111166.54 	85628 	83250 	72230 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,NL	6976396.68 	7046398.75 	5116448.73 	4927699.97 	5026685.52 	5213691.57 	5460240.87 b	5447000 	5516000 	5405000 	5335000 	4769000 	4455000 	4206000 	4438000 	4169000 	4046000 	3586000 	3330293 	3496377 	3243275 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,NO	3900713.46 	5320689.76 	4388033.78 	5025102.14 	5041587.31 	4391072.96 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,PL	: 	2381371.4 	2279070.69 	2013868.14 	1798703.43 b	2086364.34 	2285781.93 	587293 e	660876 	540715 	657726 e	467796 	592931 e	678598 e	492622 e	384128 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,PT	332526.46 	302438.17 	221710.47 	307902.63 	254559.08 	188844.5 	165159.34 	163626 	404641 	328507 	: u	286926 	280235 	354326 	359533 	229399 	294725 	231760 	224001 	227326 	141195 	175190 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,RO	: 	210017.7 	173561.32 	168744.09 	175048.58 	155919.11 	175607.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,SE	: 	: 	1655917.46 	2075102.97 	2047927.46 	: 	: 	3746373 	3404318 	2785735 	3516828 	3379315 	2805368 	: 	: 	: 	: 	: 	: 	: 	: 	2178423 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,SI	327119.94 	249995.38 	255905.54 	254151.09 	213868.21 	217711 	240282.88 	286284 	268337 	286068 	234879 	249412 	216531 	205046 	155559 	172753 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,SK	606856.14 	519197.85 	506513.39 	533708.38 	260384.06 	395343.4 b	641309.79 	502813 	523783 	552310 	589253 	622323 	475394 	409044 	348869 	304565 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,M,UK	: 	: 	: 	: 	: 	16571380.64 	: u	13773469 	14334693 	13482389 	17742503 	19076775 	: 	: 	28174491 	24682909 	27308609 	27331903 	25440787 	17166387 	15034431 	13141626 	9233250 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,AT	8191093.83 	7503907.93 	6985597.22 	6438167.02 	6491653.89 	6567883.96 	6117330.5 	5952146 	6188110 	6345875 	5578848 	5600034 	5924853 	4765553 	7571299 	8405449 	3634358 	7025907 	7856212 	3177577 	2712700 	: 	2961934 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,BE	6739924.12 	6002321.9 b	6936092.99 	5892098.32 	6062451.52 	6730264.63 	4454416.98 	4898476 	4390208 	4785193 	5232326 	4640571 	4417666 	4566800 	4205877 	3894999 	3193897 	3182631 	3531243 	2762079 	2841862 	: 	3516294 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,BG	244249.39 	226471.58 	163140.84 	145251.63 	142115.03 	120203.63 	115527.48 b	299400 	249093 	336300 	272932 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,CH	11401898.23 	11303321.19 	11736038.14 	10389402.92 	9051169.06 	9205031.32 	8886207.34 	8249260 	7208976 	6457197 	5723825 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,CY	1043757.18 	1036988.77 	896415.27 	755925.46 	828550.56 	735901.36 	511215.32 b	739868 	733754 	: 	881512 	715821 	596332 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,CZ	2785272.73 	2453236.26 	2151299.05 	1918439.81 	1848009.88 	2048688.02 	2034102.32 	1963235 	2095153 	2310075 	2968048 	2311324 	1919539 	1765591 	1628566 	1731480 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,DE	90636144.47 	66323195.21 	57834194.85 	52891054.43 	53511286.33 	56025352.7 	49648150.5 	51952450 	50395000 	47992610 	49282900 	47242000 	61651447 	56084672 	63322000 	85519000 	65455000 	68924702 	76348288 	70923444 	44287833 	36830450 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,DK	7737531.12 	7632324.38 	5324632.51 	3734441.68 	4106273.06 b	3460557.42 b	3367837.26 	5102476 	4639328 	3593548 	4541859 	5503047 	4729659 	3367141 	2761865 	2696008 	2380910 	2446005 	2445431 	2238231 	2158495 	2167136 	2187982 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,EE	957077.24 	475136.52 	385796.73 	411911.83 	361916.37 	333171.39 	256888.97 	202351 	279992 	186554 	159376 	122284 	110498 	85094 	55816 	72064 	50797 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,EL	407577.64 	323333.53 	327421.31 	271257.27 	294669.46 	292192.79 	196885.63 	375096 	563603 	656035 	1070472 	747555 	976526 	847223 	672358 	381772 	341743 	314870 	306220 	243993 	203656 	270901 	323666 	282684 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,ES	10693573.14 	9445257.91 	8807619.54 	7985720.4 b	5565511.42 	5465239.9 	5405988.57 	6525059 	6898149 	6253688 	6216393 	6261771 	5611659 	4951922 	2607362 	2457351 	2332159 	2355603 	2646875 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,FI	5082472.73 	4680088.8 	4431065.6 	4428767.08 	4538080.49 	4273581.55 	4348033.63 b	3185000 	3211000 	2816000 	2632000 	2513000 	2379000 	1930000 	1873000 	1559000 	1805000 	1956026 	1781951 	1160497 	1013454 	1029412 	1004003 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,FR	43471916.27 	22699082.14 	19517870.77 	18319072.76 	21778230.46 	20136194.06 	19096832.37 b	21544945 	19246117 	18060561 	18531000 	14228000 	12502000 	12437000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,HR	452734.39 	420997.57 	303179.83 	605430.17 	536902.48 	620189.68 	524173.69 	509544 	552514 	723434 	640219 	715923 	: 	: 	155190 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,HU	1436304.95 	1327462.59 	1198991.44 	1128160.15 	1050531.34 	815307.53 	852600.59 	764159 	823581 	941041 	1221741 	1107006 	828733 	1103729 	570341 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,IE	4489244.97 	4289523.14 	4019372.35 	3677174.19 	3712250.02 	3551697.73 	3631068.96 	3210600 	3689700 	3702000 	4819000 	5067700 	3815200 	3039700 	2545000 	2396700 	2331600 	2008000 	1502100 	2407423 	2411462 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,IT	7494075.08 	5863657.08 	4720626.78 	4410508.22 	5362626.55 b	7296314.07 	7960448.83 	7298675 	9283279 	10417413 	11587179 	10160398 	9662110 	9140598 	7948010 	7466785 	7572644 	7035898 	7566911 	7396043 	7045457 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,LT	697222.4 	627855.81 	602513.02 	553622.84 	539064.91 	563865.83 	525417.57 	478223 	432393 	342783 	549091 	477982 	397023 	378367 	227023 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,LU	1366411.28 	1236246.12 	915004.53 	879398.49 	946128.94 	828940.63 	818711.8 	712380 	664700 	708310 	626270 	607410 b	1582686 	1615224 	1572418 	1457474 	1407947 	1040849 	949077 	835670 	855047 	808600 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,LV	306462.29 	345069.16 	263130.53 	270347.78 	354663.92 	298181.98 	295837.21 	354611 	368400 	354899 	497078 	347449 	283330 	196577 	139976 	152633 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,MT	380823.96 	315093.54 	311981.58 	239265.72 	220780.12 b	238363.46 	214347.46 	169314 	161512 	149957 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,NL	13999502.43 	13917747.26 	10464719.27 	9963458.6 	9993663.38 	10213485.06 	10799232.44 b	10526000 	10367000 	10273000 	10651000 	9266000 	8715000 	8474000 	8455000 	8142000 	7906000 	7256000 	6976417 	6916518 	6715413 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,NO	7625824.94 	9904335.91 	8695725.57 	9210307.3 	9306418.34 	8292689.08 	: 	6449303 	5620729 	4598410 	5179177 	4929832 	459970 	4389952 	3851393 	3112454 	3384506 	2974862 	3088037 	2659315 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,PL	: 	5274022.63 	4725207.96 	4485521.13 	4144413.94 b	4594264.62 	4310477.62 	1084793 e	1211605 	1074499 	1432192 	1057166 	1057522 e	1178225 e	874790 e	731888 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,PT	754320.97 	652015.21 	481773.08 	666052.47 	531397.83 	395809.8 	375581.29 	368796 	786166 	729284 	: u	646341 	631510 	769860 	753355 	483875 	577417 	489384 	483916 	488675 	340339 	354303 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,RO	: 	468624.97 	362710.33 	365120.57 	355317.11 	325099.78 	300338.62 	272614 	263468 	317843 	378420 	: 	: 	: 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,SE	: 	: 	3175169.99 	3930221.64 	3959265.73 	: 	: 	7473920 	6757049 	5747568 	6602567 	6190311 	5252420 	: 	: 	: 	: 	: 	: 	: 	: 	4051253 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,SI	654665.56 	533769.65 	564046.28 	535565.24 	468943.98 	461177.33 	472384.02 	573152 	548800 	589693 	488506 	494768 	432837 	381184 	322694 	319860 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,SK	1471283.93 	1243025.7 	1067669.9 	1134981.1 	791399.6 	898838.48 b	1338516.05 	1177023 	1043685 	1290423 	1284586 	1295267 	974097 	808798 	771952 	647401 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,OUT,T,UK	: 	: 	: 	: 	: 	30580114.48 	: u	26280387 	26663285 	25916448 	33011001 	35675249 	: 	: 	55748239 	49112925 	53941043 	54139424 	52706578 	34275695 	30329936 	26102695 	18425948 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,AT	5284782.93 	4755744.64 	4744203.23 	4168554.86 	4272960.43 	4435332.93 	4265756.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,BE	3780258.26 	3211190.86 b	3916696.13 	3083081.67 	3138747.23 	3678895.25 	2429290.54 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,BG	314591.2 	274352.12 	201165.95 	182971.86 	180768.31 	173504.67 	147363.34 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,CH	6248630.93 	6392747.14 	6934662.76 	5843401.8 	5038632.21 	5243668.42 	5110777.69 	4802695 	4399259 	3703693 	3393600 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,CY	582220.84 	656981.55 	510331.26 	423681.04 	531093.37 	498584.78 	309625.37 b	464793 	456515 	: 	565208 	451415 	390828 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,CZ	1986174.74 	1835912.92 	1603046.82 	1446301.13 	1307227.78 	1472481.89 	1563206.62 	: 	: 	: 	: 	1502629 	1308624 	1128547 	1015307 	1129347 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,DE	57747152.34 	42673011.88 	38305102.96 	34489594.8 	36171654.59 	37047787.76 	33671439.52 	35005770 	35299000 	34370930 	33451700 	31508000 	36406585 	33392813 	40670000 	56258000 	43618000 	39834750 	45967188 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,DK	4884107.68 	4990835.51 	3496995.34 	2500632.26 	2872164.44 b	2236210.01 b	2304937.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,EE	532331.14 	297077.78 	234909.94 	235491.52 	223151.91 	199665.85 	189047.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,EL	967135.33 	811900.78 	772149.68 	698861.97 	754260.84 	692303.72 	549134.83 	1064219 	1209383 	1803469 	2144380 	1879046 	2089915 	1630336 	1460189 	787655 	765902 	709620 	774887 	624665 	679376 	749434 	914354 	653107 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,ES	12660637.67 	12147888.25 	11306893.43 	9924277.69 b	8085431.67 	8301803.76 	7835560.59 	9178313 	9306871 	9246953 	9040473 	8951245 	7914128 	7130704 	6122184 	5406052 	5189235 	5430540 	4873733 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,FI	3349208.06 	3147692.94 	2947624.8 	3185688.56 	3253597.97 	2820155.88 	2975537.32 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,FR	46118135.3 	30505288.1 	26595599.03 	25913983.83 	29232574.35 	27653526.5 	27341141.95 b	28295410 	25789413 	24359157 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,HR	421716.63 	396112.82 	294927.94 	469027.13 	413947.8 	575671.79 	531743.47 	517244 	638133 	548869 	537608 	556255 	: 	: 	194910 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,HU	984192.1 	903736.89 	835673.92 	788756.11 	759455.69 	638120.29 	644020.53 	646705 	688859 	719181 	949227 	888053 	694740 	554441 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,IE	2622659.21 	2530327.25 	2335061.67 	2176620.16 	2309470.94 	2162436.22 	2175804.99 	1946400 	2194000 	2188000 	2824000 	2897900 	: 	1809500 	1538000 	1422600 	1387200 	1222900 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,IT	9258990.11 	8345143.69 	6966878.87 	6276954.24 	6139294.1 b	8741033.63 	9373184.65 	: u	: u	: u	: u	11998894 	12192310 	11375634 	10616205 	9725752 	9716156 	8918593 	9548974 	8849271 	9093359 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,LT	436467.53 	370807.33 	362447.83 	345476.14 	323606.56 	339686.58 	311472.77 	: 	274757 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,LU	736480.15 	589437.15 	466930.58 	451399.74 	445126.09 	394812.98 	396148.03 	340550 	320940 	331130 	311680 	285550 b	815197 	832292 	783366 	740159 	666707 	496077 	467028 	423186 	443957 	397684 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,LV	183193.67 	205796.97 	181666.79 	170334 	221497.06 	200070.82 	197931.56 	279824 	301554 	280727 	371573 	198840 	167413 	123233 	: 	80738 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N_GE4,WORLD,F,MT	181207.49 	161362.2 	166175.55 	117899.64 	119207.25 b	117020.15 	105267.67 	85185 	78262 	77727 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
