unit,landcover,geo\time	2015 	2012 	2009 
CVA,LCA1,DE9	9.4 	10.2 	11.2 
CVA,LCA1,DEA	8.2 	8.5 	9.4 
CVA,LCA1,DEB	15.5 	17.1 	19.4 
CVA,LCA1,DEC	22.6 	27.4 	29.5 
CVA,LCA1,DED	12.9 	14.3 	15.7 
CVA,LCA1,DEE	16.3 	17.7 	19.5 
CVA,LCA1,DEF	19.4 	21.1 	24 
CVA,LCA1,DEG	17 	17.9 	20.6 
CVA,LCA1,DK	10 	10.1 	11.9 
CVA,LCA1,DK0	10 	10.1 	11.9 
CVA,LCA1,EE	20.2 	25 	23.4 
CVA,LCA1,EE0	20.2 	25 	23.4 
CVA,LCA1,EL	8.2 	9.5 	10.3 
CVA,LCA1,EL3	15.1 	17 	16 
CVA,LCA1,EL4	27.2 	30 	56.4 
CVA,LCA1,EL5	15.6 	18.3 	17.8 
CVA,LCA1,EL6	14 	16.6 	17.3 
CVA,LCA1,ES	3.8 	4.1 	4.7 
CVA,LCA1,ES1	10.4 	10.7 	11.6 
CVA,LCA1,ES2	12.5 	13.6 	15.1 
CVA,LCA1,ES3	22.1 	22.7 	27.1 
CVA,LCA1,ES4	8.8 	9.3 	10.5 
CVA,LCA1,ES5	7.2 	7.8 	9.5 
CVA,LCA1,ES6	7.6 	8.1 	9.2 
CVA,LCA1,EU27	1.3 	1.4 	: 
CVA,LCA1,EU28	1.3 	: 	: 
CVA,LCA1,EU_V	1.4 	1.4 	1.6 
CVA,LCA1,FI	13 	12.3 	10.9 
CVA,LCA1,FI1	13 	12.3 	10.9 
CVA,LCA1,FR	3.4 	3.7 	4.1 
CVA,LCA1,FR1	13.6 	14.4 	16.3 
CVA,LCA1,FR2	7.8 	8.8 	9.9 
CVA,LCA1,FR3	17.1 	17.6 	20.6 
CVA,LCA1,FR4	11.9 	13.1 	15.5 
CVA,LCA1,FR5	8.1 	8.7 	9.4 
CVA,LCA1,FR6	8.3 	8.6 	9.8 
CVA,LCA1,FR7	8.8 	9.5 	10.5 
