	time	month	country	tas	pr
6098	1989M04	4	Croatia	8.981858927258465	69.68442451506867
7898	1989M05	5	Croatia	13.583805948443398	71.94316792779733
9698	1989M06	6	Croatia	18.287905883658002	64.9085803126434
11498	1989M07	7	Croatia	21.285926106884	52.16776653587797
13298	1989M08	8	Croatia	20.75073526995733	43.420856086404264
15098	1989M09	9	Croatia	16.331495768376666	55.82363503795866
16898	1989M10	10	Croatia	11.20966227187087	75.68440948409668
18698	1989M11	11	Croatia	6.677349446823134	81.864842503812
20498	1989M12	12	Croatia	3.6215148925203757	80.97061728145333
734	1990M01	1	Croatia	2.073433430971887	74.18610160542667
2534	1990M02	2	Croatia	2.7101281738591685	61.21621933048734
4334	1990M03	3	Croatia	5.3704073079867864	67.19313306136267
6134	1990M04	4	Croatia	8.981858927258465	69.68442451506867
7934	1990M05	5	Croatia	13.583805948443398	71.94316792779733
9734	1990M06	6	Croatia	18.287905883658002	64.9085803126434
11534	1990M07	7	Croatia	21.285926106884	52.16776653587797
13334	1990M08	8	Croatia	20.75073526995733	43.420856086404264
15134	1990M09	9	Croatia	16.331495768376666	55.82363503795866
16934	1990M10	10	Croatia	11.20966227187087	75.68440948409668
18734	1990M11	11	Croatia	6.677349446823134	81.864842503812
20534	1990M12	12	Croatia	3.6215148925203757	80.97061728145333
770	1991M01	1	Croatia	2.073433430971887	74.18610160542667
2570	1991M02	2	Croatia	2.7101281738591685	61.21621933048734
4370	1991M03	3	Croatia	5.3704073079867864	67.19313306136267
6170	1991M04	4	Croatia	8.981858927258465	69.68442451506867
7970	1991M05	5	Croatia	13.583805948443398	71.94316792779733
9770	1991M06	6	Croatia	18.287905883658002	64.9085803126434
11570	1991M07	7	Croatia	21.285926106884	52.16776653587797
13370	1991M08	8	Croatia	20.75073526995733	43.420856086404264
15170	1991M09	9	Croatia	16.331495768376666	55.82363503795866
16970	1991M10	10	Croatia	11.20966227187087	75.68440948409668
18770	1991M11	11	Croatia	6.677349446823134	81.864842503812
20570	1991M12	12	Croatia	3.6215148925203757	80.97061728145333
806	1992M01	1	Croatia	2.073433430971887	74.18610160542667
2606	1992M02	2	Croatia	2.7101281738591685	61.21621933048734
4406	1992M03	3	Croatia	5.3704073079867864	67.19313306136267
6206	1992M04	4	Croatia	8.981858927258465	69.68442451506867
8006	1992M05	5	Croatia	13.583805948443398	71.94316792779733
9806	1992M06	6	Croatia	18.287905883658002	64.9085803126434
11606	1992M07	7	Croatia	21.285926106884	52.16776653587797
13406	1992M08	8	Croatia	20.75073526995733	43.420856086404264
15206	1992M09	9	Croatia	16.331495768376666	55.82363503795866
17006	1992M10	10	Croatia	11.20966227187087	75.68440948409668
18806	1992M11	11	Croatia	6.677349446823134	81.864842503812
20606	1992M12	12	Croatia	3.6215148925203757	80.97061728145333
842	1993M01	1	Croatia	2.073433430971887	74.18610160542667
2642	1993M02	2	Croatia	2.7101281738591685	61.21621933048734
4442	1993M03	3	Croatia	5.3704073079867864	67.19313306136267
6242	1993M04	4	Croatia	8.981858927258465	69.68442451506867
8042	1993M05	5	Croatia	13.583805948443398	71.94316792779733
9842	1993M06	6	Croatia	18.287905883658002	64.9085803126434
11642	1993M07	7	Croatia	21.285926106884	52.16776653587797
13442	1993M08	8	Croatia	20.75073526995733	43.420856086404264
15242	1993M09	9	Croatia	16.331495768376666	55.82363503795866
17042	1993M10	10	Croatia	11.20966227187087	75.68440948409668
18842	1993M11	11	Croatia	6.677349446823134	81.864842503812
20642	1993M12	12	Croatia	3.6215148925203757	80.97061728145333
878	1994M01	1	Croatia	2.073433430971887	74.18610160542667
2678	1994M02	2	Croatia	2.7101281738591685	61.21621933048734
4478	1994M03	3	Croatia	5.3704073079867864	67.19313306136267
6278	1994M04	4	Croatia	8.981858927258465	69.68442451506867
8078	1994M05	5	Croatia	13.583805948443398	71.94316792779733
9878	1994M06	6	Croatia	18.287905883658002	64.9085803126434
11678	1994M07	7	Croatia	21.285926106884	52.16776653587797
13478	1994M08	8	Croatia	20.75073526995733	43.420856086404264
15278	1994M09	9	Croatia	16.331495768376666	55.82363503795866
17078	1994M10	10	Croatia	11.20966227187087	75.68440948409668
18878	1994M11	11	Croatia	6.677349446823134	81.864842503812
20678	1994M12	12	Croatia	3.6215148925203757	80.97061728145333
914	1995M01	1	Croatia	2.073433430971887	74.18610160542667
2714	1995M02	2	Croatia	2.7101281738591685	61.21621933048734
4514	1995M03	3	Croatia	5.3704073079867864	67.19313306136267
6314	1995M04	4	Croatia	8.981858927258465	69.68442451506867
8114	1995M05	5	Croatia	13.583805948443398	71.94316792779733
9914	1995M06	6	Croatia	18.287905883658002	64.9085803126434
11714	1995M07	7	Croatia	21.285926106884	52.16776653587797
13514	1995M08	8	Croatia	20.75073526995733	43.420856086404264
15314	1995M09	9	Croatia	16.331495768376666	55.82363503795866
17114	1995M10	10	Croatia	11.20966227187087	75.68440948409668
18914	1995M11	11	Croatia	6.677349446823134	81.864842503812
20714	1995M12	12	Croatia	3.6215148925203757	80.97061728145333
950	1996M01	1	Croatia	2.073433430971887	74.18610160542667
2750	1996M02	2	Croatia	2.7101281738591685	61.21621933048734
4550	1996M03	3	Croatia	5.3704073079867864	67.19313306136267
6350	1996M04	4	Croatia	8.981858927258465	69.68442451506867
8150	1996M05	5	Croatia	13.583805948443398	71.94316792779733
9950	1996M06	6	Croatia	18.287905883658002	64.9085803126434
11750	1996M07	7	Croatia	21.285926106884	52.16776653587797
13550	1996M08	8	Croatia	20.75073526995733	43.420856086404264
15350	1996M09	9	Croatia	16.331495768376666	55.82363503795866
17150	1996M10	10	Croatia	11.20966227187087	75.68440948409668
18950	1996M11	11	Croatia	6.677349446823134	81.864842503812
20750	1996M12	12	Croatia	3.6215148925203757	80.97061728145333
986	1997M01	1	Croatia	2.073433430971887	74.18610160542667
2786	1997M02	2	Croatia	2.7101281738591685	61.21621933048734
4586	1997M03	3	Croatia	5.3704073079867864	67.19313306136267
6386	1997M04	4	Croatia	8.981858927258465	69.68442451506867
8186	1997M05	5	Croatia	13.583805948443398	71.94316792779733
9986	1997M06	6	Croatia	18.287905883658002	64.9085803126434
11786	1997M07	7	Croatia	21.285926106884	52.16776653587797
13586	1997M08	8	Croatia	20.75073526995733	43.420856086404264
15386	1997M09	9	Croatia	16.331495768376666	55.82363503795866
17186	1997M10	10	Croatia	11.20966227187087	75.68440948409668
18986	1997M11	11	Croatia	6.677349446823134	81.864842503812
20786	1997M12	12	Croatia	3.6215148925203757	80.97061728145333
1022	1998M01	1	Croatia	2.073433430971887	74.18610160542667
2822	1998M02	2	Croatia	2.7101281738591685	61.21621933048734
4622	1998M03	3	Croatia	5.3704073079867864	67.19313306136267
6422	1998M04	4	Croatia	8.981858927258465	69.68442451506867
8222	1998M05	5	Croatia	13.583805948443398	71.94316792779733
10022	1998M06	6	Croatia	18.287905883658002	64.9085803126434
11822	1998M07	7	Croatia	21.285926106884	52.16776653587797
13622	1998M08	8	Croatia	20.75073526995733	43.420856086404264
15422	1998M09	9	Croatia	16.331495768376666	55.82363503795866
17222	1998M10	10	Croatia	11.20966227187087	75.68440948409668
19022	1998M11	11	Croatia	6.677349446823134	81.864842503812
20822	1998M12	12	Croatia	3.6215148925203757	80.97061728145333
1058	1999M01	1	Croatia	2.073433430971887	74.18610160542667
2858	1999M02	2	Croatia	2.7101281738591685	61.21621933048734
4658	1999M03	3	Croatia	5.3704073079867864	67.19313306136267
6458	1999M04	4	Croatia	8.981858927258465	69.68442451506867
8258	1999M05	5	Croatia	13.583805948443398	71.94316792779733
10058	1999M06	6	Croatia	18.287905883658002	64.9085803126434
11858	1999M07	7	Croatia	21.285926106884	52.16776653587797
13658	1999M08	8	Croatia	20.75073526995733	43.420856086404264
15458	1999M09	9	Croatia	16.331495768376666	55.82363503795866
17258	1999M10	10	Croatia	11.20966227187087	75.68440948409668
19058	1999M11	11	Croatia	6.677349446823134	81.864842503812
20858	1999M12	12	Croatia	3.6215148925203757	80.97061728145333
1094	2000M01	1	Croatia	2.073433430971887	74.18610160542667
2894	2000M02	2	Croatia	2.7101281738591685	61.21621933048734
4694	2000M03	3	Croatia	5.3704073079867864	67.19313306136267
6494	2000M04	4	Croatia	8.981858927258465	69.68442451506867
8294	2000M05	5	Croatia	13.583805948443398	71.94316792779733
10094	2000M06	6	Croatia	18.287905883658002	64.9085803126434
11894	2000M07	7	Croatia	21.285926106884	52.16776653587797
13694	2000M08	8	Croatia	20.75073526995733	43.420856086404264
15494	2000M09	9	Croatia	16.331495768376666	55.82363503795866
17294	2000M10	10	Croatia	11.20966227187087	75.68440948409668
19094	2000M11	11	Croatia	6.677349446823134	81.864842503812
20894	2000M12	12	Croatia	3.6215148925203757	80.97061728145333
1130	2001M01	1	Croatia	2.073433430971887	74.18610160542667
