age,sex,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
JUVENILE,T,P_HTHAB,SE	1.16 	0.64 	0.91 	0.61 	0.52 	0.63 	0.36 	0.78 	0.31 	0.78 
JUVENILE,T,P_HTHAB,SI	: 	2.48 	0.83 	1.40 	3.09 	0.28 	2.57 	2.01 	1.15 	3.48 
JUVENILE,T,P_HTHAB,SK	7.18 	7.60 	8.89 	9.25 	9.81 	13.45 	12.81 	13.38 	14.78 	15.42 
JUVENILE,T,P_HTHAB,TR	: 	10.50 	10.16 	8.73 	8.28 	8.81 	10.28 	9.33 	11.91 	: 
JUVENILE,T,P_HTHAB,UKC-L	: 	5.14 	5.55 	6.08 	7.15 	10.65 	13.23 	13.93 	17.88 	21.37 
JUVENILE,T,P_HTHAB,UKM	33.85 	41.88 	44.80 	51.46 	54.61 	66.34 	74.73 	82.55 	97.20 	97.00 
JUVENILE,T,P_HTHAB,UKN	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.93 	3.95 	4.44 	9.54 
JUVENILE,T,P_HTHAB,XK	: 	10.08 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,NR,AL	93 	98 	121 	109 	89 	82 	84 	96 	113 	133 
TOTAL,F,NR,AT	518 	492 	498 	507 	544 	568 	564 	516 	460 	408 
TOTAL,F,NR,BA	75 	: 	86 	60 	56 	: 	38 	60 	: 	: 
TOTAL,F,NR,BE	: 	: 	529 	: 	460 	441 	441 	418 	390 	447 
TOTAL,F,NR,BG	219 	228 	246 	259 	264 	307 	289 	291 	240 	292 
TOTAL,F,NR,CH	371 	371 	356 	317 	350 	306 	301 	319 	345 	302 
TOTAL,F,NR,CY	34 	41 	32 	30 	30 	43 	35 	45 	31 	44 
TOTAL,F,NR,CZ	1638 	1643 	1433 	1170 	959 	1446 	1480 	1282 	999 	1086 
TOTAL,F,NR,DE	: 	: 	3609 	3639 	3797 	3943 	3927 	3845 	3857 	: 
TOTAL,F,NR,DK	136 	150 	118 	145 	189 	149 	164 	183 	178 	155 
TOTAL,F,NR,EE	141 	178 	155 	: 	156 	162 	181 	193 	149 	191 
TOTAL,F,NR,EL	551 	515 	486 	572 	660 	557 	562 	577 	554 	774 
TOTAL,F,NR,ES	4304 	4390 	4658 	4911 	4991 	5068 	5157 	5652 	6076 	: 
TOTAL,F,NR,FI	234 	226 	237 	240 	256 	219 	228 	245 	238 	224 
TOTAL,F,NR,FR	2393 	2265 	2147 	2108 	2161 	2180 	2167 	1927 	2021 	2117 
TOTAL,F,NR,HR	123 	123 	164 	190 	194 	202 	245 	228 	218 	209 
TOTAL,F,NR,HU	1276 	1280 	1250 	1349 	1356 	1225 	1216 	1009 	989 	947 
TOTAL,F,NR,IE	: 	: 	116 	120 	122 	122 	122 	138 	123 	111 
TOTAL,F,NR,IS	8 	8 	6 	3 	6 	13 	8 	8 	7 	10 
TOTAL,F,NR,IT	2516 	2379 	2207 	2374 	2785 	2804 	2808 	2930 	2751 	2601 
TOTAL,F,NR,LI	4 	4 	3 	4 	3 	3 	3 	5 	9 	: 
TOTAL,F,NR,LT	331 	322 	296 	380 	430 	435 	417 	414 	367 	358 
TOTAL,F,NR,LU	37 	36 	40 	26 	33 	31 	36 	23 	38 	34 
TOTAL,F,NR,LV	291 	349 	358 	345 	347 	416 	416 	421 	402 	388 
TOTAL,F,NR,ME	26 	36 	35 	31 	19 	53 	37 	59 	39 	20 
TOTAL,F,NR,MK	71 	102 	: 	: 	: 	: 	50 	55 	55 	: 
TOTAL,F,NR,MT	2 	37 	41 	37 	44 	47 	35 	34 	28 	: 
TOTAL,F,NR,NL	596 	580 	499 	671 	690 	712 	789 	872 	896 	970 
TOTAL,F,NR,NO	: 	244 	212 	204 	200 	248 	252 	221 	211 	192 
TOTAL,F,NR,PL	2983 	2642 	2579 	2771 	2769 	2638 	2456 	2515 	2434 	2730 
TOTAL,F,NR,PT	849 	: 	855 	835 	839 	758 	711 	627 	613 	: 
TOTAL,F,NR,RO	1120 	1411 	1443 	1537 	1559 	1405 	1355 	1247 	1194 	1226 
TOTAL,F,NR,RS	390 	417 	366 	372 	414 	240 	423 	427 	402 	348 
TOTAL,F,NR,SE	348 	346 	327 	333 	330 	362 	390 	394 	374 	392 
TOTAL,F,NR,SI	: 	104 	81 	89 	64 	70 	57 	53 	64 	59 
TOTAL,F,NR,SK	716 	673 	631 	614 	589 	646 	618 	551 	488 	410 
TOTAL,F,NR,TR	: 	8373 	6509 	5818 	5219 	4538 	4539 	4150 	4013 	: 
TOTAL,F,NR,UKC-L	: 	3832 	3881 	3901 	3815 	4086 	4146 	4197 	4183 	4409 
TOTAL,F,NR,UKM	: 	: 	408 	425 	432 	425 	424 	385 	380 	411 
TOTAL,F,NR,UKN	55 	48 	43 	58 	64 	51 	45 	46 	47 	49 
TOTAL,F,NR,XK	39 	43 	42 	59 	57 	48 	46 	: 	: 	: 
TOTAL,F,P_HTHAB,AL	6.54 	6.88 	8.46 	7.59 	: 	: 	5.96 	: 	7.25 	8.41 
TOTAL,F,P_HTHAB,AT	11.61 	11.12 	11.37 	11.65 	12.57 	13.18 	13.13 	12.04 	10.75 	9.57 
TOTAL,F,P_HTHAB,BA	: 	: 	: 	: 	: 	: 	1.93 	3.05 	: 	: 
TOTAL,F,P_HTHAB,BE	: 	: 	9.26 	: 	8.11 	7.81 	7.88 	7.56 	7.11 	8.21 
TOTAL,F,P_HTHAB,BG	6.00 	6.20 	6.65 	6.96 	7.06 	8.16 	7.64 	7.64 	6.26 	7.57 
TOTAL,F,P_HTHAB,CH	8.74 	8.82 	8.55 	7.70 	8.60 	7.59 	7.54 	8.07 	8.81 	7.81 
TOTAL,F,P_HTHAB,CY	7.76 	9.41 	7.35 	6.81 	6.74 	9.71 	8.12 	10.73 	7.62 	11.11 
TOTAL,F,P_HTHAB,CZ	30.46 	30.61 	26.73 	21.87 	17.92 	27.04 	27.72 	24.07 	18.82 	20.57 
TOTAL,F,P_HTHAB,DE	: 	: 	8.73 	8.83 	9.23 	9.59 	9.56 	9.22 	9.22 	: 
TOTAL,F,P_HTHAB,DK	4.71 	5.23 	4.14 	5.11 	6.69 	5.30 	5.85 	6.56 	6.40 	5.61 
TOTAL,F,P_HTHAB,EE	20.20 	25.46 	22.14 	: 	22.16 	22.91 	25.49 	27.09 	20.86 	26.66 
TOTAL,F,P_HTHAB,EL	9.93 	9.26 	8.69 	10.19 	11.71 	9.84 	9.91 	10.20 	9.83 	13.62 
TOTAL,F,P_HTHAB,ES	18.17 	18.58 	19.72 	20.78 	21.05 	21.37 	21.84 	24.05 	26.01 	: 
TOTAL,F,P_HTHAB,FI	8.38 	8.11 	8.53 	8.66 	9.28 	7.97 	8.33 	8.99 	8.77 	8.28 
TOTAL,F,P_HTHAB,FR	6.94 	6.58 	6.26 	6.20 	6.39 	6.47 	6.47 	5.78 	6.09 	6.41 
TOTAL,F,P_HTHAB,HR	5.72 	5.67 	7.50 	8.65 	8.80 	9.13 	11.03 	10.23 	9.76 	9.35 
TOTAL,F,P_HTHAB,HU	24.91 	24.89 	24.23 	26.07 	26.11 	23.52 	23.20 	19.19 	18.77 	17.95 
TOTAL,F,P_HTHAB,IE	: 	: 	4.95 	5.16 	5.26 	5.27 	5.30 	6.03 	5.42 	4.98 
TOTAL,F,P_HTHAB,IS	4.78 	4.84 	3.66 	1.85 	3.74 	8.17 	5.05 	5.07 	4.45 	6.47 
TOTAL,F,P_HTHAB,IT	8.08 	7.62 	7.05 	7.59 	9.04 	9.14 	9.16 	9.59 	9.04 	8.60 
TOTAL,F,P_HTHAB,LI	20.98 	21.09 	15.95 	21.36 	16.14 	16.28 	16.43 	27.59 	50.01 	: 
TOTAL,F,P_HTHAB,LT	21.55 	20.65 	18.79 	23.94 	26.82 	26.85 	25.34 	24.47 	21.46 	20.75 
TOTAL,F,P_HTHAB,LU	12.58 	6.25 	14.24 	9.47 	12.28 	11.79 	14.00 	9.10 	15.28 	13.92 
TOTAL,F,P_HTHAB,LV	27.60 	32.78 	33.31 	31.81 	31.62 	37.48 	36.92 	36.62 	34.35 	32.75 
TOTAL,F,P_HTHAB,ME	8.26 	11.45 	11.13 	9.86 	6.05 	16.88 	11.79 	18.80 	12.46 	6.40 
TOTAL,F,P_HTHAB,MK	6.86 	9.87 	: 	: 	: 	: 	4.87 	5.37 	5.38 	: 
TOTAL,F,P_HTHAB,MT	0.87 	16.52 	18.70 	17.37 	20.81 	22.40 	16.78 	16.36 	13.57 	: 
TOTAL,F,P_HTHAB,NL	6.93 	6.77 	5.85 	7.90 	8.14 	8.43 	9.38 	10.42 	10.76 	11.70 
TOTAL,F,P_HTHAB,NO	: 	9.43 	8.26 	8.03 	7.95 	9.97 	10.25 	9.09 	8.78 	8.08 
TOTAL,F,P_HTHAB,PL	15.22 	13.39 	13.15 	14.13 	14.10 	13.43 	12.51 	12.82 	12.34 	13.85 
TOTAL,F,P_HTHAB,PT	15.64 	: 	15.68 	15.27 	15.28 	13.75 	12.88 	11.38 	11.15 	: 
TOTAL,F,P_HTHAB,RO	11.15 	13.96 	14.20 	15.07 	15.20 	13.62 	12.33 	11.32 	11.38 	11.58 
TOTAL,F,P_HTHAB,RS	10.80 	11.49 	10.03 	10.14 	11.24 	6.48 	11.37 	11.38 	10.67 	9.20 
TOTAL,F,P_HTHAB,SE	6.99 	7.03 	6.71 	6.89 	6.89 	7.61 	8.25 	8.40 	8.04 	8.49 
TOTAL,F,P_HTHAB,SI	: 	9.99 	7.78 	8.56 	6.16 	6.74 	5.50 	5.13 	6.22 	5.76 
TOTAL,F,P_HTHAB,SK	25.72 	24.21 	22.71 	22.11 	21.23 	23.30 	22.33 	19.91 	17.66 	14.84 
TOTAL,F,P_HTHAB,TR	: 	21.34 	16.81 	15.23 	13.85 	12.20 	12.37 	11.50 	11.27 	: 
TOTAL,F,P_HTHAB,UKC-L	: 	13.01 	13.28 	13.45 	13.24 	14.27 	14.58 	14.87 	14.93 	15.85 
TOTAL,F,P_HTHAB,UKM	: 	: 	14.81 	15.48 	15.78 	15.55 	15.58 	14.22 	14.11 	15.33 
TOTAL,F,P_HTHAB,UKN	5.80 	5.08 	4.57 	6.20 	6.88 	5.50 	4.88 	5.01 	5.16 	5.42 
TOTAL,F,P_HTHAB,XK	: 	4.84 	: 	: 	: 	: 	5.17 	: 	: 	: 
TOTAL,M,NR,AL	5581 	5933 	5860 	5580 	4909 	4439 	4454 	4461 	4466 	2965 
TOTAL,M,NR,AT	8334 	8127 	8057 	8185 	8318 	8113 	8060 	7866 	7453 	: 
TOTAL,M,NR,BA	2310 	: 	2228 	2477 	2465 	: 	2193 	2161 	: 	: 
TOTAL,M,NR,BE	: 	: 	10355 	: 	11357 	10740 	10597 	10106 	9730 	9362 
TOTAL,M,NR,BG	6769 	7117 	7162 	7611 	8570 	9111 	9507 	9015 	8708 	9116 
TOTAL,M,NR,CH	6193 	6170 	6142 	6202 	6302 	5743 	5298 	5405 	5206 	5009 
TOTAL,M,NR,CY	558 	545 	515 	502 	523 	609 	571 	577 	519 	608 
TOTAL,M,NR,CZ	20442 	20838 	19433 	17488 	15686 	20994 	21485 	20410 	: 	: 
TOTAL,M,NR,DE	: 	: 	59411 	59589 	62424 	64590 	65616 	66982 	68438 	: 
TOTAL,M,NR,DK	3282 	3258 	3085 	3438 	3902 	3673 	3774 	3743 	3523 	: 
TOTAL,M,NR,EE	2582 	2686 	2668 	: 	2967 	3088 	3190 	3157 	3371 	3275 
TOTAL,M,NR,EL	9460 	9035 	9125 	11226 	12033 	11318 	11330 	11204 	10300 	11541 
TOTAL,M,NR,ES	53184 	53971 	55737 	58798 	60404 	60827 	63108 	65951 	70003 	: 
TOTAL,M,NR,FI	2848 	2930 	2898 	2908 	3039 	3000 	2969 	3046 	3249 	3306 
TOTAL,M,NR,FR	66581 	66167 	64531 	64162 	64914 	63668 	61908 	57929 	58288 	: 
TOTAL,M,NR,HR	2985 	2985 	3177 	3573 	4158 	4471 	4784 	4898 	: 	: 
TOTAL,M,NR,HU	16067 	16361 	16199 	16541 	16485 	15440 	15470 	14758 	13931 	13796 
TOTAL,M,NR,IE	: 	: 	3094 	3096 	3596 	3569 	3575 	3560 	3690 	3359 
TOTAL,M,NR,IS	123 	116 	140 	151 	141 	139 	140 	159 	136 	130 
TOTAL,M,NR,IT	56522 	53599 	51203 	52371 	61063 	62897 	64089 	65031 	62040 	56683 
TOTAL,M,NR,LI	69 	68 	50 	49 	65 	57 	68 	70 	149 	: 
TOTAL,M,NR,LT	6268 	6493 	7059 	8256 	8831 	9182 	9373 	8567 	8100 	7642 
TOTAL,M,NR,LU	647 	688 	651 	600 	623 	634 	594 	651 	659 	728 
TOTAL,M,NR,LV	3474 	3894 	4051 	4400 	4789 	5646 	6077 	6271 	6504 	6209 
TOTAL,M,NR,ME	1093 	1087 	1096 	1092 	1045 	1269 	1282 	1391 	1451 	: 
TOTAL,M,NR,MK	2710 	3129 	: 	: 	: 	: 	2162 	2160 	2160 	: 
TOTAL,M,NR,MT	16 	516 	528 	544 	571 	506 	521 	516 	437 	: 
TOTAL,M,NR,NL	10278 	10021 	10351 	11263 	12031 	12216 	12631 	12841 	12794 	13640 
TOTAL,M,NR,NO	: 	3875 	3782 	3844 	3636 	3720 	3556 	3270 	3043 	3227 
TOTAL,M,NR,PL	71497 	69567 	70116 	76574 	77396 	78668 	76011 	75007 	77745 	82248 
TOTAL,M,NR,PT	12402 	: 	13152 	12925 	13143 	12856 	11970 	10986 	10486 	: 
TOTAL,M,NR,RO	22330 	26044 	26891 	28619 	31875 	29968 	28889 	26538 	25052 	24986 
TOTAL,M,NR,RS	10417 	10255 	9698 	9916 	9617 	9754 	10371 	10535 	10297 	9353 
TOTAL,M,NR,SE	5365 	5312 	5364 	5474 	5393 	5922 	6272 	6437 	: 	: 
TOTAL,M,NR,SI	: 	1204 	1318 	1433 	1296 	1306 	1207 	1291 	1297 	: 
TOTAL,M,NR,SK	9312 	9322 	9282 	9406 	9164 	10067 	9775 	9340 	8671 	: 
TOTAL,M,NR,TR	: 	192354 	171748 	153579 	140249 	129181 	121731 	114551 	109648 	: 
TOTAL,M,NR,UKC-L	: 	79772 	80563 	79777 	78069 	79520 	78702 	78151 	75533 	77265 
TOTAL,M,NR,UKM	: 	: 	7336 	7306 	7461 	6941 	6974 	6602 	6561 	7415 
TOTAL,M,NR,UKN	1356 	1359 	1404 	1651 	1732 	1631 	1624 	1402 	1460 	1499 
TOTAL,M,NR,XK	1570 	1605 	1436 	1795 	1719 	1634 	1352 	: 	: 	: 
TOTAL,M,P_HTHAB,AL	383.96 	205.58 	202.61 	192.68 	: 	: 	330.28 	: 	287.20 	186.64 
TOTAL,M,P_HTHAB,AT	193.25 	190.53 	192.06 	196.96 	201.72 	197.97 	197.60 	193.45 	183.71 	: 
TOTAL,M,P_HTHAB,BA	: 	: 	: 	: 	: 	: 	116.81 	115.07 	: 	: 
TOTAL,M,P_HTHAB,BE	: 	: 	187.45 	: 	206.96 	197.00 	196.18 	190.24 	184.68 	179.20 
TOTAL,M,P_HTHAB,BG	196.20 	204.68 	204.51 	215.92 	241.74 	255.44 	264.90 	249.45 	239.50 	249.05 
TOTAL,M,P_HTHAB,CH	148.39 	149.70 	150.77 	154.20 	158.80 	146.42 	136.64 	141.10 	137.48 	134.40 
TOTAL,M,P_HTHAB,CY	133.92 	132.06 	125.05 	120.23 	124.22 	145.35 	139.69 	144.39 	133.10 	159.81 
TOTAL,M,P_HTHAB,CZ	393.06 	401.79 	375.38 	338.76 	303.74 	407.00 	417.41 	397.38 	: 	: 
TOTAL,M,P_HTHAB,DE	: 	: 	149.14 	150.64 	158.51 	164.64 	167.71 	167.02 	170.31 	: 
TOTAL,M,P_HTHAB,DK	114.75 	114.80 	109.75 	123.13 	140.42 	132.75 	136.91 	136.44 	128.95 	: 
TOTAL,M,P_HTHAB,EE	418.11 	435.54 	434.03 	: 	481.53 	499.56 	514.77 	508.54 	542.55 	526.49 
TOTAL,M,P_HTHAB,EL	181.18 	172.94 	173.20 	211.28 	224.23 	208.67 	207.76 	205.17 	188.78 	209.88 
TOTAL,M,P_HTHAB,ES	232.91 	236.64 	244.18 	257.01 	262.42 	263.33 	273.79 	286.96 	305.95 	: 
TOTAL,M,P_HTHAB,FI	105.00 	108.46 	107.66 	108.49 	113.96 	113.10 	112.53 	116.04 	124.40 	127.31 
TOTAL,M,P_HTHAB,FR	206.01 	204.60 	200.38 	200.90 	204.31 	201.45 	196.77 	185.07 	187.13 	2.1 
TOTAL,M,P_HTHAB,HR	148.86 	147.57 	155.79 	174.31 	202.19 	216.80 	231.25 	236.09 	: 	: 
TOTAL,M,P_HTHAB,HU	343.66 	348.96 	344.97 	351.68 	349.56 	326.80 	326.10 	310.24 	292.48 	289.25 
TOTAL,M,P_HTHAB,IE	: 	: 	135.28 	135.90 	158.22 	157.24 	157.53 	157.45 	163.81 	150.85 
TOTAL,M,P_HTHAB,IS	71.92 	69.35 	84.75 	92.46 	87.34 	86.68 	87.50 	99.41 	83.92 	80.80 
TOTAL,M,P_HTHAB,IT	191.95 	181.96 	173.56 	177.62 	211.37 	218.95 	223.19 	226.99 	217.15 	199.51 
TOTAL,M,P_HTHAB,LI	368.08 	364.42 	269.50 	266.30 	356.22 	315.93 	380.19 	393.94 	847.02 	: 
TOTAL,M,P_HTHAB,LT	477.68 	488.34 	524.34 	608.85 	645.12 	663.67 	666.06 	590.75 	549.77 	513.78 
TOTAL,M,P_HTHAB,LU	218.11 	119.39 	230.87 	218.09 	232.11 	242.15 	233.29 	261.02 	269.16 	303.83 
TOTAL,M,P_HTHAB,LV	387.86 	430.61 	444.58 	479.80 	516.85 	603.97 	641.08 	645.87 	655.22 	616.56 
TOTAL,M,P_HTHAB,ME	355.16 	353.23 	356.40 	355.52 	340.61 	414.22 	418.78 	455.73 	477.17 	: 
TOTAL,M,P_HTHAB,MK	260.92 	301.56 	: 	: 	: 	: 	209.72 	209.95 	210.36 	6.05 
TOTAL,M,P_HTHAB,MT	6.91 	227.92 	239.47 	256.09 	272.06 	243.63 	252.42 	250.24 	213.58 	: 
TOTAL,M,P_HTHAB,NL	121.27 	119.05 	123.63 	135.14 	144.82 	147.49 	153.22 	156.53 	156.86 	168.14 
TOTAL,M,P_HTHAB,NO	: 	147.70 	145.51 	149.75 	143.38 	148.87 	144.50 	134.75 	127.05 	136.76 
TOTAL,M,P_HTHAB,PL	389.04 	378.55 	381.12 	416.07 	420.03 	426.91 	412.44 	407.38 	422.18 	446.72 
TOTAL,M,P_HTHAB,PT	254.01 	: 	267.12 	260.69 	263.09 	255.56 	236.86 	216.95 	206.98 	: 
TOTAL,M,P_HTHAB,RO	232.54 	269.89 	277.02 	293.65 	326.54 	306.51 	277.15 	253.93 	251.73 	248.64 
TOTAL,M,P_HTHAB,RS	303.79 	297.57 	279.93 	284.95 	275.01 	277.54 	293.72 	296.46 	288.71 	261.18 
TOTAL,M,P_HTHAB,SE	107.01 	107.73 	110.09 	113.70 	113.16 	125.28 	133.72 	138.46 	: 	: 
TOTAL,M,P_HTHAB,SI	: 	117.65 	128.93 	140.37 	127.18 	128.45 	118.97 	127.30 	129.19 	: 
TOTAL,M,P_HTHAB,SK	351.17 	352.29 	351.28 	356.41 	347.65 	382.52 	372.36 	356.01 	331.16 	: 
TOTAL,M,P_HTHAB,TR	: 	486.83 	440.56 	399.18 	369.50 	344.18 	328.62 	314.16 	305.42 	: 
TOTAL,M,P_HTHAB,UKC-L	: 	277.96 	283.29 	283.20 	279.35 	286.65 	286.13 	286.82 	279.56 	288.39 
TOTAL,M,P_HTHAB,UKM	: 	: 	281.97 	281.92 	288.99 	269.70 	272.52 	259.94 	260.01 	295.92 
TOTAL,M,P_HTHAB,UKN	147.75 	148.89 	154.82 	183.15 	193.34 	182.86 	183.11 	159.04 	166.90 	172.97 
TOTAL,M,P_HTHAB,XK	: 	181.71 	: 	: 	: 	: 	149.51 	: 	: 	: 
TOTAL,T,NR,AL	5674 	6031 	5981 	5689 	4998 	4618 	4659 	4657 	4667 	4916 
TOTAL,T,NR,AT	8852 	8619 	8665 	8692 	8862 	8805 	8770 	8540 	8708 	8248 
TOTAL,T,NR,BA	2820 	2832 	2730 	2825 	2898 	: 	2757 	2743 	: 	: 
TOTAL,T,NR,BE	: 	: 	10994 	: 	11818 	11183 	11040 	10526 	10126 	9811 
TOTAL,T,NR,BG	6988 	7345 	7408 	7870 	8834 	9493 	9885 	9379 	9006 	9408 
TOTAL,T,NR,CH	6564 	6541 	6498 	6519 	6652 	6102 	5626 	5765 	5605 	5303 
TOTAL,T,NR,CY	592 	586 	547 	532 	553 	678 	622 	636 	578 	652 
TOTAL,T,NR,CZ	22159 	22481 	20866 	18658 	16645 	22644 	23170 	21900 	21853 	20502 
TOTAL,T,NR,DE	65841 	64291 	63020 	63228 	66221 	68533 	69543 	70827 	72295 	73793 
TOTAL,T,NR,DK	3418 	3408 	3203 	3583 	4091 	3829 	3947 	3944 	3721 	3451 
TOTAL,T,NR,EE	2723 	2864 	2823 	3034 	3123 	3286 	3400 	3393 	3555 	3656 
TOTAL,T,NR,EL	10011 	9560 	9611 	11798 	12693 	12475 	12479 	12349 	11364 	11736 
TOTAL,T,NR,ES	58814 	59589 	61614 	65017 	66765 	68597 	70472 	73929 	76079 	73558 
TOTAL,T,NR,FI	3082 	3156 	3135 	3148 	3295 	3306 	3268 	3364 	3589 	3530 
TOTAL,T,NR,FR	68974 	68432 	66678 	66270 	67075 	66572 	64787 	60544 	60978 	62252 
TOTAL,T,NR,HR	3108 	3108 	3341 	3763 	4352 	4741 	5084 	5165 	4891 	4734 
TOTAL,T,NR,HU	17343 	17658 	17449 	17890 	17841 	17179 	17210 	16328 	15432 	14743 
TOTAL,T,NR,IE	3680 	3716 	3755 	3777 	4088 	4287 	4216 	4318 	3868 	3484 
TOTAL,T,NR,IS	131 	124 	146 	154 	147 	153 	150 	167 	148 	140 
TOTAL,T,NR,IT	59038 	55978 	53410 	54745 	63848 	67102 	68325 	69263 	65598 	59284 
TOTAL,T,NR,LI	73 	72 	53 	53 	68 	60 	71 	76 	149 	78 
TOTAL,T,NR,LT	6599 	6815 	7355 	8636 	9261 	9729 	9920 	9139 	8655 	8000 
TOTAL,T,NR,LU	684 	724 	691 	626 	656 	666 	637 	681 	702 	762 
TOTAL,T,NR,LV	3765 	4243 	4409 	4745 	5136 	6117 	6561 	6780 	7055 	6548 
TOTAL,T,NR,ME	1119 	1123 	1131 	1123 	1064 	1331 	1328 	1457 	1499 	1216 
TOTAL,T,NR,MK	3031 	3231 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,T,NR,MT	591 	553 	569 	581 	615 	585 	584 	584 	494 	662 
TOTAL,T,NR,NL	10874 	10601 	10850 	11934 	12721 	13473 	13969 	14368 	14364 	14610 
TOTAL,T,NR,NO	: 	4192 	4056 	4103 	3869 	4052 	3866 	3564 	3340 	3477 
TOTAL,T,NR,PL	74480 	72209 	72695 	79345 	80165 	85459 	82832 	82372 	85749 	84978 
TOTAL,T,NR,PT	13587 	13917 	14373 	14198 	14535 	13875 	12955 	11839 	11287 	10807 
TOTAL,T,NR,RO	23450 	27455 	28334 	30156 	33434 	31817 	30694 	28244 	26716 	26212 
TOTAL,T,NR,RS	10807 	10672 	10064 	10288 	10031 	10226 	11070 	11211 	10975 	9701 
TOTAL,T,NR,SE	5713 	5658 	5691 	5807 	5723 	6296 	6669 	6846 	7286 	7073 
TOTAL,T,NR,SI	: 	1308 	1399 	1522 	1360 	1377 	1273 	1351 	1365 	1318 
TOTAL,T,NR,SK	10028 	9995 	9913 	10020 	9753 	10850 	10525 	10031 	9316 	8166 
TOTAL,T,NR,TR	: 	200727 	178257 	159397 	145468 	136020 	128604 	120814 	116340 	: 
TOTAL,T,NR,UKC-L	: 	83604 	84444 	83678 	81884 	84886 	84428 	84004 	81836 	81674 
TOTAL,T,NR,UKM	7436.47058823529 	7579.07547169811 	7744 	7731 	7894 	8057 	8178 	7853 	7964 	7827 
TOTAL,T,NR,UKN	1411 	1407 	1447 	1709 	1796 	1682 	1673 	1465 	1525 	1543 
TOTAL,T,NR,XK	1609 	1648 	1478 	1854 	1776 	1737 	1441 	: 	: 	: 
TOTAL,T,P_HTHAB,AL	197.25 	208.97 	206.79 	196.45 	: 	: 	164.53 	: 	146.54 	155.08 
TOTAL,T,P_HTHAB,AT	100.90 	99.18 	101.03 	102.18 	104.85 	104.72 	104.71 	102.26 	104.48 	99.28 
TOTAL,T,P_HTHAB,BA	: 	: 	: 	: 	: 	: 	71.74 	71.36 	: 	: 
TOTAL,T,P_HTHAB,BE	: 	: 	97.84 	: 	105.88 	100.79 	100.36 	97.10 	94.17 	91.98 
TOTAL,T,P_HTHAB,BG	98.40 	102.67 	102.86 	108.62 	121.27 	129.56 	134.14 	126.37 	120.61 	125.14 
TOTAL,T,P_HTHAB,CH	77.96 	78.55 	78.88 	80.09 	82.75 	76.71 	71.49 	74.04 	72.77 	69.84 
TOTAL,T,P_HTHAB,CY	69.26 	69.08 	64.58 	62.00 	63.87 	78.65 	74.07 	77.64 	72.53 	83.98 
TOTAL,T,P_HTHAB,CZ	209.47 	213.01 	198.00 	177.49 	158.28 	215.55 	220.95 	209.33 	209.61 	198.21 
TOTAL,T,P_HTHAB,DE	79.79 	78.24 	77.61 	78.28 	82.24 	85.32 	86.69 	86.58 	88.16 	89.75 
TOTAL,T,P_HTHAB,DK	59.46 	59.71 	56.59 	63.67 	73.02 	68.61 	70.98 	71.26 	67.51 	63.02 
TOTAL,T,P_HTHAB,EE	206.97 	217.64 	214.70 	230.58 	228.98 	247.96 	255.70 	254.48 	266.14 	273.15 
TOTAL,T,P_HTHAB,EL	92.97 	88.65 	88.52 	107.97 	115.35 	112.53 	112.19 	111.06 	102.43 	110.13 
TOTAL,T,P_HTHAB,ES	126.41 	128.31 	132.65 	139.78 	142.88 	146.52 	151.01 	159.03 	164.53 	161.07 
TOTAL,T,P_HTHAB,FI	56.00 	57.51 	57.29 	57.75 	60.72 	61.21 	60.80 	62.86 	67.38 	66.60 
TOTAL,T,P_HTHAB,FR	103.25 	102.50 	100.29 	100.50 	102.25 	101.98 	99.70 	93.64 	94.76 	97.26 
TOTAL,T,P_HTHAB,HR	74.82 	74.16 	79.07 	88.61 	102.11 	110.88 	118.51 	120.04 	113.49 	109.79 
TOTAL,T,P_HTHAB,HU	177.01 	179.62 	177.05 	181.12 	180.05 	172.97 	172.35 	163.05 	153.84 	146.76 
TOTAL,T,P_HTHAB,IE	76.92 	78.65 	81.12 	82.01 	89.04 	93.55 	92.24 	94.91 	85.55 	78.16 
TOTAL,T,P_HTHAB,IS	38.72 	37.29 	44.36 	47.29 	45.67 	47.88 	47.10 	52.58 	46.34 	44.38 
TOTAL,T,P_HTHAB,IT	97.44 	92.27 	87.85 	90.07 	106.97 	112.98 	115.09 	117.02 	111.18 	101.08 
TOTAL,T,P_HTHAB,LI	193.07 	191.38 	141.84 	142.75 	184.59 	164.50 	196.41 	211.73 	418.67 	220.61 
TOTAL,T,P_HTHAB,LT	231.71 	235.93 	251.77 	293.40 	311.62 	323.91 	324.97 	290.87 	271.84 	249.02 
TOTAL,T,P_HTHAB,LU	115.80 	125.64 	122.74 	113.88 	122.15 	126.89 	124.45 	135.64 	142.25 	157.50 
TOTAL,T,P_HTHAB,LV	193.07 	215.49 	221.99 	237.08 	253.78 	299.15 	316.25 	319.74 	326.19 	298.75 
TOTAL,T,P_HTHAB,ME	179.79 	180.48 	181.80 	180.69 	171.37 	214.57 	214.25 	235.38 	242.89 	197.55 
TOTAL,T,P_HTHAB,MK	146.16 	155.99 	: 	: 	: 	: 	: 	: 	: 	: 
