age,sex,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ADULT,M,P_HTHAB,ES	283.94 	288.35 	297.44 	312.74 	318.15 	323.63 	336.21 	352.13 	374.99 	366.30 
ADULT,M,P_HTHAB,FI	127.37 	132.29 	131.54 	131.92 	142.50 	142.86 	142.42 	147.20 	158.16 	158.01 
ADULT,M,P_HTHAB,FR	265.65 	264.36 	259.17 	259.70 	264.12 	263.18 	257.04 	241.88 	244.72 	: 
ADULT,M,P_HTHAB,HR	180.88 	179.80 	190.03 	216.52 	246.90 	270.02 	288.48 	294.70 	: 	: 
ADULT,M,P_HTHAB,HU	417.37 	422.08 	416.15 	423.18 	420.30 	405.35 	404.76 	386.31 	365.41 	353.01 
ADULT,M,P_HTHAB,IE	: 	: 	181.53 	184.70 	214.72 	212.93 	212.21 	211.31 	218.87 	198.13 
ADULT,M,P_HTHAB,IS	96.20 	93.31 	116.72 	128.49 	119.05 	116.30 	117.71 	139.25 	117.45 	107.53 
ADULT,M,P_HTHAB,IT	226.72 	215.47 	205.96 	211.59 	252.10 	266.62 	272.20 	277.08 	265.14 	239.02 
ADULT,M,P_HTHAB,LI	511.30 	502.10 	368.95 	387.11 	531.48 	450.88 	573.11 	535.62 	1241.05 	535.11 
ADULT,M,P_HTHAB,LT	592.00 	605.04 	647.46 	754.94 	802.27 	836.16 	842.59 	750.53 	702.49 	643.74 
ADULT,M,P_HTHAB,LU	284.67 	118.18 	289.85 	280.32 	299.30 	307.99 	298.71 	341.28 	351.66 	390.67 
ADULT,M,P_HTHAB,LV	490.85 	532.39 	547.88 	601.30 	633.75 	748.22 	795.77 	804.78 	819.06 	743.63 
ADULT,M,P_HTHAB,ME	469.22 	468.55 	510.08 	464.87 	448.35 	558.44 	556.30 	621.11 	638.89 	: 
ADULT,M,P_HTHAB,MK	332.28 	387.14 	: 	: 	: 	: 	270.21 	271.84 	274.10 	: 
ADULT,M,P_HTHAB,MT	: 	268.31 	284.32 	316.15 	338.65 	306.25 	331.25 	324.42 	278.68 	356.65 
ADULT,M,P_HTHAB,NL	146.72 	144.18 	150.34 	164.50 	177.12 	187.97 	195.77 	200.48 	201.45 	204.47 
ADULT,M,P_HTHAB,NO	: 	189.32 	186.77 	192.97 	188.39 	193.22 	188.21 	176.02 	166.34 	179.38 
ADULT,M,P_HTHAB,PL	467.77 	454.19 	450.49 	490.75 	498.91 	531.67 	515.41 	510.61 	530.77 	526.75 
ADULT,M,P_HTHAB,PT	312.43 	319.78 	335.72 	322.36 	325.83 	316.91 	294.41 	270.46 	258.74 	: 
