isco08,ind_type,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
OC264_265,SAL_PERM,PC,HU	91 	93 	95 	89 	87 	87 	84 	91 
OC264_265,SAL_PERM,PC,IE	77 	78 b	85 	87 	77 	85 	84 	83 
OC264_265,SAL_PERM,PC,IS	92 	95 	91 	91 	81 	73 	83 	85 
OC264_265,SAL_PERM,PC,IT	69 	77 b	81 	82 	82 	80 	76 	82 
OC264_265,SAL_PERM,PC,LT	100 	100 	99 	100 	100 	99 	96 u	97 u
OC264_265,SAL_PERM,PC,LU	88 	93 	92 	89 b	94 	92 	90 	91 
OC264_265,SAL_PERM,PC,LV	93 	93 	87 	95 	96 	90 	95 	87 
OC264_265,SAL_PERM,PC,ME	68 u	70 u	75 u	68 u	80 u	79 u	94 u	82 
OC264_265,SAL_PERM,PC,MK	76 	85 	91 	82 	86 	84 	85 	86 
OC264_265,SAL_PERM,PC,MT	75 u	100 b	98 u	85 u	89 u	93 u	97 u	82 u
OC264_265,SAL_PERM,PC,NL	75 	74 	77 	77 	74 	72 b	75 	76 
OC264_265,SAL_PERM,PC,NO	89 	87 	89 	84 	90 	85 	83 	85 
OC264_265,SAL_PERM,PC,PL	65 	64 	71 	68 	66 	62 	67 	71 
OC264_265,SAL_PERM,PC,PT	70 	51 	66 	60 	62 	63 	65 	71 
OC264_265,SAL_PERM,PC,RO	99 	98 	99 	98 	100 	99 	96 	99 
OC264_265,SAL_PERM,PC,RS	73 	75 	77 	81 	77 b	77 	: 	: 
OC264_265,SAL_PERM,PC,SE	71 	71 	71 	68 	66 	69 	71 	71 
OC264_265,SAL_PERM,PC,SI	76 	75 	81 	73 u	68 	69 	71 	61 u
OC264_265,SAL_PERM,PC,SK	82 	86 	94 	91 	94 	99 	90 	92 
OC264_265,SAL_PERM,PC,TR	82 	88 	87 	87 	88 b	90 	89 b	87 
OC264_265,SAL_PERM,PC,UK	91 	90 	88 	91 	88 	89 	87 	89 
OC264_265,SELF,PC,AT	48 	44 	41 	46 	43 	43 	45 	47 
OC264_265,SELF,PC,BE	28 b	29 b	35 	29 	32 	28 	31 b	35 
OC264_265,SELF,PC,BG	35 	33 	34 	32 u	27 u	22 u	19 u	20 u
OC264_265,SELF,PC,CH	35 	33 	34 	35 	37 	36 	36 	36 
OC264_265,SELF,PC,CY	38 u	31 u	39 u	49 bu	37 u	40 u	54 u	56 u
OC264_265,SELF,PC,CZ	58 	52 	47 	54 	51 	45 	50 	46 
OC264_265,SELF,PC,DE	53 	52 	53 	55 	56 	55 	57 b	55 
OC264_265,SELF,PC,DK	28 	29 b	27 b	28 	28 	28 	30 	27 
OC264_265,SELF,PC,EE	30 u	26 u	14 u	22 u	: u	23 u	24 u	31 u
OC264_265,SELF,PC,EL	18 	22 	25 	26 	35 	31 	32 	36 
OC264_265,SELF,PC,ES	35 	39 	35 	37 	37 	32 	36 	32 
OC264_265,SELF,PC,EU28	48 	48 	48 	48 	49 	47 	48 	47 
OC264_265,SELF,PC,FI	45 	48 	44 	39 	43 	43 	39 	43 
OC264_265,SELF,PC,FR	36 	39 	38 	32 	34 b	34 b	30 	32 
OC264_265,SELF,PC,HR	9 u	15 u	: u	20 u	20 u	35 u	39 u	20 u
OC264_265,SELF,PC,HU	35 	32 	33 	28 	31 	37 	34 	36 
OC264_265,SELF,PC,IE	49 	56 b	57 	56 	54 	59 	53 	54 
OC264_265,SELF,PC,IS	59 	46 	41 	47 	49 	41 	45 	45 
OC264_265,SELF,PC,IT	61 	63 b	64 	60 	62 	64 	62 	63 
OC264_265,SELF,PC,LT	26 u	23 u	28 u	22 u	20 u	16 u	: u	: u
OC264_265,SELF,PC,LU	12 u	16 u	14 u	15 bu	20 	13 u	15 u	19 u
