indic,unit,geo\time	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 	2018Q3 	2018Q4 	2019Q1 	2019Q2 
TOTAL,I15_NSA,LU	: 	: 	: 	: 	: 	: 	: 	: 	72.67 	73.16 	76.13 	75.72 	75.38 	77.55 	77.27 	77.43 	75.58 	76.05 	75.36 	77.09 	80.09 	78.99 	80.20 	81.28 	80.93 	82.88 	82.87 	85.67 	84.60 	86.26 	86.49 	88.96 	89.16 	90.27 	91.40 	92.74 	91.36 	94.72 	95.98 	97.45 	97.80 	99.87 	101.27 	101.06 	102.64 	105.44 	107.02 	108.92 	109.84 	112.21 	112.28 	113.50 	116.84 	117.90 	120.78 	123.92 	125.00 	131.32 
TOTAL,I15_NSA,LV	: 	: 	: 	: 	89.95 	99.22 	109.54 	119.19 	134.59 	138.58 	149.52 	146.78 	157.05 	154.19 	143.82 	120.71 	98.98 	89.04 	87.60 	85.34 	78.52 	78.80 	80.83 	83.25 	86.98 	88.51 	91.36 	88.05 	89.22 	90.28 	92.54 	93.41 	93.52 	97.37 	98.52 	101.08 	103.39 	104.90 	109.04 	96.57 	96.63 	100.06 	100.40 	102.91 	103.49 	109.52 	110.04 	110.90 	113.11 	119.53 	119.72 	119.69 	126.02 	129.91 	128.34 	132.93 	134.04 	141.54 p
TOTAL,I15_NSA,MT	56.65 	56.48 	61.17 	59.43 	62.34 	69.34 	71.59 	76.88 	80.89 	84.76 	86.24 	87.10 	94.40 	90.54 	96.44 	95.19 	91.74 	89.78 	90.87 	87.90 	91.50 	91.16 	94.04 	87.45 	88.65 	90.79 	91.03 	88.73 	90.50 	89.49 	96.03 	94.13 	91.37 	90.10 	94.33 	92.83 	92.82 	92.73 	94.58 	97.92 	95.30 	96.07 	102.72 	105.92 	100.29 	102.78 	107.62 	111.12 	105.61 	108.88 	113.02 	116.59 	111.25 	115.49 	119.27 p	123.85 p	118.61 p	122.68 p
TOTAL,I15_NSA,NL	104.46 	105.66 	107.07 	107.59 	108.78 	110.22 	111.48 	112.45 	113.95 	114.95 	117.19 	118.29 	118.36 	118.54 	120.06 	117.60 	116.38 	113.03 	112.04 	111.95 	111.61 	111.48 	111.58 	110.93 	111.07 	109.55 	109.03 	107.11 	105.07 	103.33 	99.31 	99.73 	97.02 	95.02 	95.63 	95.32 	95.80 	96.23 	96.85 	97.25 	98.27 	99.14 	101.14 	101.45 	102.81 	103.58 	106.16 	107.52 	109.67 	111.39 	114.02 	116.65 	119.90 	121.66 	125.59 	127.29 	129.66 	131.79 p
TOTAL,I15_NSA,NO	52.88 d	54.35 d	54.84 d	54.89 d	58.31 d	61.19 d	63.20 d	63.95 d	67.97 d	70.51 d	70.41 d	68.83 d	70.46 d	71.33 d	68.89 d	64.06 d	66.72 d	70.25 d	71.49 d	71.49 d	73.93 	76.65 	76.27 	76.21 	80.12 	82.16 	82.48 	83.05 	85.07 	87.82 	88.28 	88.73 	91.21 	92.25 	91.75 	89.76 	90.92 	94.26 	94.89 	94.88 	98.29 	100.66 	100.93 	100.12 	102.86 	107.18 	109.87 	111.61 	114.86 	115.54 	112.35 	112.23 	113.57 	116.08 	116.29 	116.16 	118.54 	121.68 
TOTAL,I15_NSA,PL	55.59 	55.08 	55.06 	58.29 	60.80 	65.96 	81.70 	97.60 	109.19 	116.04 	117.95 	112.09 	114.79 	115.30 	111.46 	110.12 	111.23 	110.62 	111.08 	106.15 	104.60 	105.87 	106.02 	105.95 	105.88 	106.57 	105.41 	104.92 	103.50 	102.82 	101.41 	100.29 	97.70 	97.52 	97.43 	97.49 	97.15 	99.30 	98.66 	98.89 	99.06 	100.43 	100.63 	99.88 	100.00 	100.84 	102.73 	103.86 	103.33 	105.44 	106.50 	107.86 	109.48 	111.95 	113.43 	116.11 	118.34 	121.10 
TOTAL,I15_NSA,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	109.23 	109.59 	106.56 	104.74 	105.67 	106.65 	106.70 	107.13 	107.74 	108.16 	107.32 	106.21 	105.45 	103.18 	101.49 	98.25 	96.84 	94.64 	93.70 	94.31 	92.45 	92.25 	92.75 	94.89 	96.16 	97.70 	97.31 	96.98 	96.94 	100.57 	100.65 	101.84 	103.67 	106.91 	108.31 	109.57 	111.89 	115.51 	119.60 	121.06 	125.58 	128.49 	129.72 	132.34 	137.14 	141.49 
TOTAL,I15_NSA,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	132.70 	126.97 	126.51 	130.93 	123.93 	121.99 	117.48 	114.77 	110.14 	108.11 	102.31 	98.75 	101.74 	101.15 	97.44 	97.71 	100.99 	100.42 	98.04 	97.59 	98.37 	96.88 	96.01 	97.62 	101.01 	99.76 	98.87 	100.36 	103.65 	106.59 	105.86 	107.70 	108.96 	114.27 	112.44 	113.75 	116.10 	119.66 	118.88 	119.83 	119.91 	121.79 
TOTAL,I15_NSA,SE	49.47 	51.12 	53.09 	54.48 	56.39 	58.00 	59.54 	59.90 	62.19 	65.98 	68.36 	66.41 	66.61 	67.90 	67.42 	63.96 	65.72 	67.65 	69.50 	71.38 	72.44 	73.33 	74.44 	75.65 	76.32 	76.34 	76.16 	74.67 	75.55 	76.66 	77.56 	77.53 	78.69 	80.13 	81.54 	82.78 	85.18 	87.07 	89.97 	91.39 	95.21 	98.37 	102.12 	104.30 	105.66 	106.90 	109.35 	111.06 	114.02 	115.97 	117.59 	114.13 	113.24 	114.04 	115.16 	114.96 	114.95 	116.53 
TOTAL,I15_NSA,SI	: 	: 	: 	: 	: 	: 	: 	: 	115.66 	118.12 	122.08 	127.52 	129.32 	129.08 	131.52 	127.31 	119.37 	116.93 	114.95 	116.97 	117.41 	118.08 	116.53 	116.80 	122.24 	121.89 	119.01 	118.40 	113.60 	114.91 	111.90 	107.95 	108.72 	109.60 	103.30 	103.22 	101.51 	98.84 	97.77 	98.69 	100.11 	102.38 	98.77 	98.74 	100.94 	102.84 	103.69 	105.54 	106.87 	111.42 	111.89 	116.07 	117.86 	122.39 	122.92 	126.68 	127.75 	129.43 
TOTAL,I15_NSA,SK	: 	: 	: 	: 	71.76 	74.64 	76.58 	80.96 	87.45 	93.62 	101.56 	109.38 	116.60 	120.39 	114.77 	110.44 	103.39 	98.59 	103.19 	98.09 	97.55 	96.96 	96.26 	96.36 	96.51 	95.08 	95.57 	94.15 	93.54 	92.70 	93.32 	91.45 	93.54 	93.78 	93.56 	93.46 	93.35 	94.88 	94.72 	96.67 	98.27 	100.16 	100.22 	101.34 	103.18 	106.10 	107.77 	109.75 	107.08 	113.09 	115.62 	116.16 	119.57 	120.99 	120.65 	124.06 	126.41 	131.08 
TOTAL,I15_NSA,UK	76.28 	78.53 	80.42 	80.59 	81.14 	84.19 	86.81 	88.47 	89.72 	93.14 	95.76 	95.72 	93.12 	92.52 	88.87 	82.97 	78.68 	79.74 	82.83 	84.47 	84.77 	86.34 	87.56 	85.70 	84.11 	84.80 	85.80 	84.64 	83.77 	85.28 	86.23 	85.43 	84.91 	86.62 	88.71 	89.22 	90.39 	93.67 	96.65 	96.81 	96.52 	98.60 	101.82 	103.05 	104.21 	106.49 	108.66 	108.60 	108.84 	111.25 	113.76 	113.68 	113.44 	114.73 	116.99 	116.43 	115.14 	116.29 p
TOTAL,RT1,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.4 	2.1 	0.4 	0.7 	2.6 	2.2 	0.8 	2.4 	1.5 	2.8 	-0.3 	1.7 	1.5 	3.0 	-2.8 	2.7 	1.6 	-0.7 	0.9 	-2.2 	6.4 	4.1 	-1.7 	4.2 	2.2 	0.5 	-0.1 	2.0 	2.4 	0.4 	1.5 	0.8 	0.9 	1.6 	1.5 	0.2 	3.3 
TOTAL,RT1,BE	: 	2.2 	3.6 	2.0 	1.9 	2.7 	2.9 	0.8 	2.4 	2.0 	1.9 	0.4 	1.0 	1.4 	1.4 	-0.6 	-1.3 	-1.0 	2.3 	-0.9 	1.1 	0.9 	1.9 	0.6 	0.7 	0.9 	2.0 	-0.2 	0.7 	0.1 	1.1 	-0.8 	0.6 	0.3 	1.2 	-1.0 	-1.9 	0.7 	1.3 	0.8 	-2.4 p	2.2 p	2.2 p	-0.5 p	-0.7 p	1.2 p	2.5 p	-0.4 p	1.0 p	-0.3 	3.4 	-0.5 	0.0 	1.0 	2.0 	-0.5 	1.1 	0.5 p
TOTAL,RT1,BG	: 	4.3 e	2.9 e	2.4 e	4.7 e	1.6 e	4.6 e	5.5 e	9.3 e	5.4 e	7.5 e	8.8 e	6.8 e	5.9 e	3.1 e	-4.2 e	-11.4 e	-9.6 e	-4.7 	-2.7 	-2.2 	-0.6 	-1.1 	-1.2 	-2.0 	-1.8 	-0.7 	-1.4 	0.1 	0.4 	-0.1 	-1.8 	-0.8 	0.5 	-1.0 	0.1 	1.0 	0.3 	0.2 	1.1 	0.5 b	0.9 	-0.5 	3.0 	1.1 	2.8 	1.6 	2.4 	1.9 	2.4 	2.0 	1.6 	0.9 	2.8 	0.8 	0.9 	2.6 	0.6 p
TOTAL,RT1,CY	: 	2.1 	3.6 	1.9 	2.4 	3.3 	3.9 	3.2 	2.0 	2.8 	3.6 	0.9 	3.6 	0.6 	-1.3 	-3.7 	-1.3 	-1.0 	-1.6 	-2.4 	-1.6 	-1.4 	-0.4 	-0.3 	-0.4 	2.2 	-2.4 	-3.3 	-1.1 	-0.4 	3.9 	-1.7 	-3.4 	0.2 	-1.6 	-2.2 	-2.7 	5.6 	-0.8 	-1.1 	-4.0 	3.1 	1.9 	-3.0 	-2.1 	1.9 	2.7 	0.8 	-3.0 	3.1 	-0.3 	2.7 	-1.8 	0.6 	-0.7 	3.5 	0.8 	4.2 p
TOTAL,RT1,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.1 	1.5 	-0.6 	-2.2 	-3.2 	-0.8 	-0.7 	0.0 	0.2 	-0.3 	0.1 	0.2 	0.5 	-0.6 	-0.9 	-0.5 	0.1 	-0.2 	-0.1 	-0.1 	0.5 	-0.1 	-0.2 	1.3 	0.8 	0.8 	0.7 	1.0 	1.1 	1.2 	1.1 p	1.3 p	2.0 	2.5 	4.7 p	3.0 p	2.5 	1.8 	0.9 p	2.2 p	3.0 	2.5 	1.9 p	1.9 p	2.1 
TOTAL,RT1,DE	: 	-1.8 	2.1 	-2.8 	1.5 	0.4 	-1.4 	0.9 	-3.6 	2.1 	-0.1 	0.0 	1.5 	0.4 	-1.8 	0.2 	0.0 	1.6 	-0.2 	1.6 	-1.4 	1.6 	0.0 	-0.6 	2.6 	1.3 	-0.5 	0.7 	0.7 	1.4 	1.5 	1.3 	-0.3 	2.0 	-0.2 	0.1 	0.9 	2.0 	0.5 	0.0 	1.7 	2.1 	0.5 	1.4 	2.1 	2.9 	1.8 	1.5 	0.5 	2.0 	1.7 	2.0 	0.9 	1.9 	2.1 	1.2 	-0.2 p	2.0 p
TOTAL,RT1,DK	: 	5.3 	7.7 	6.6 	7.1 	6.1 	2.0 	-1.0 	0.4 	1.3 	0.2 	-1.9 	-1.3 	0.3 	-2.6 	-7.8 	-6.3 	1.2 	0.8 	-0.4 	0.6 	2.1 	0.8 	-1.0 	-1.0 	2.3 	-3.3 	-3.6 	0.0 	1.4 	0.3 	-0.5 	1.4 	3.6 	0.0 	-1.4 	1.4 	3.8 	-0.5 	-0.4 	3.7 	3.3 	0.4 	0.0 	1.9 	2.5 	1.3 	-1.6 	2.2 	2.7 	1.3 	-1.9 	3.7 	1.4 	0.4 	-2.2 	2.2 	2.6 p
TOTAL,RT1,EA	: 	1.6 p	2.5 p	0.5 p	1.9 p	2.1 p	1.4 p	1.0 p	0.2 p	1.7 p	1.1 p	0.1 p	0.6 p	0.4 p	-0.4 p	-1.6 p	-1.2 p	-0.4 p	0.1 p	0.3 p	-0.4 p	1.3 p	0.6 p	-0.1 p	0.3 p	0.9 p	-0.3 p	-1.1 p	-0.9 p	-0.2 p	-0.4 p	-0.5 p	-1.6 p	0.3 p	0.2 p	-0.7 p	-0.2 p	0.9 p	0.3 p	-0.6 p	-0.2 p	1.6 p	1.0 p	0.1 p	0.9 p	1.6 p	1.5 p	0.5 p	0.7 p	1.5 p	1.6 p	0.8 p	0.8 p	1.5 p	1.6 p	0.6 p	0.3 p	1.7 p
TOTAL,RT1,EE	: 	12.8 	5.6 	13.1 	13.0 	10.1 	7.0 	10.5 	3.3 	6.4 	-2.9 	-1.4 	-3.1 	-3.0 	-0.1 	-14.4 	-21.5 	-7.0 	-7.4 	-1.7 	11.7 	0.9 	3.8 	-3.5 	5.5 	2.9 	1.9 	1.0 	1.3 	3.3 	2.6 	-1.4 	3.1 	3.7 	5.4 	2.6 	4.8 	1.1 	4.1 	-0.2 	2.9 	3.3 	-1.9 	0.8 	-0.1 	3.1 	3.4 	1.1 	-0.1 	0.3 	3.4 	1.3 	1.5 	1.1 	0.2 	2.8 	1.7 	0.9 
