unit,indic_il,deg_urb,sex,age,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
NAC,MED_E,DEG2,T,Y_GE65,EE	6408 	6259 	5729 	5481 	5193 b	4796 	4541 b	4212 u	4556 u	4235 u	5374 u	3394 u	2147 u	: u	: u	: 
NAC,MED_E,DEG2,T,Y_GE65,EL	8256 	8085 	8153 	8280 	8020 	9331 	10489 b	10133 	11537 	11676 	10700 	10963 	10026 	: u	: u	8128 
NAC,MED_E,DEG2,T,Y_GE65,ES	14140 	14056 	14096 	13512 	13327 	13383 	12750 b	12414 	12409 	13084 	11561 b	9407 	8487 	8510 	8400 	: 
NAC,MED_E,DEG2,T,Y_GE65,EU	59752 	57105 e	45530 e	41222 e	48624 e	48541 e	46065 e	37332 e	37652 e	36946 e	36346 e	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE65,EU27	59902 	57251 	45584 	41231 e	48698 	48622 	46116 	37339 e	37650 e	36946 e	36346 e	34618 e	40039 e	39514 e	: 	: 
NAC,MED_E,DEG2,T,Y_GE65,EU28	59752 	57105 	45530 	41222 e	48624 	48541 	46065 	37332 e	37652 e	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE65,FI	21041 	20591 	20516 	20389 	19755 	19907 	19207 b	18028 	17505 	16995 	16149 	15535 	14863 	13525 	13625 	: 
NAC,MED_E,DEG2,T,Y_GE65,FR	21661 	21405 	21825 	21729 	21099 	20757 	19526 b	19641 	18922 	18545 	17557 b	14688 	14131 	13717 	13579 	: 
NAC,MED_E,DEG2,T,Y_GE65,HR	41245 	39800 	38400 	39913 	38000 	37200 	36000 b	35861 	37905 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE65,HU	1602854 	1474000 	1500980 	1364083 	1387820 	1308421 	1266667 b	1243906 	1217000 	1180180 	1092540 	1014000 	908500 	863467 	: 	: 
NAC,MED_E,DEG2,T,Y_GE65,IE	18954 p	17636 	17609 	18306 	17575 	19062 	17609 b	17727 	18851 	18647 	17979 	15972 	13891 	13113 	12326 	11469 
NAC,MED_E,DEG2,T,Y_GE65,IS	: 	: 	3589282 	3218363 	3074176 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE65,IT	16977 	16735 	16297 	15474 b	15633 	15399 	15258 	14657 	14434 	13962 	13732 	13249 	12792 	12311 	12157 	: 
NAC,MED_E,DEG2,T,Y_GE65,LT	4088 	4690 	4485 	4045 u	13260 	13255 	12406 b	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE65,LU	42853 	38432 	37478 b	35233 	35182 	34541 	34065 b	35251 	34132 	33436 	30579 	29795 	29690 	28338 	26944 	24739 
NAC,MED_E,DEG2,T,Y_GE65,LV	4596 	4424 	4352 	4121 	4089 	3865 	3893 b	4445 	4289 	4360 	3542 	2990 u	1814 u	: u	: 	: 
NAC,MED_E,DEG2,T,Y_GE65,MK	: 	169100 	154843 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE65,MT	10551 	10460 	10624 	10630 	9950 	9862 	9239 b	8035 	7851 	8485 	7368 	7482 	2964 	2516 	: 	: 
NAC,MED_E,DEG2,T,Y_GE65,NL	20479 	19999 	19727 b	19541 	19049 	19212 	18934 b	17475 	17844 	16908 	16043 	14865 	14652 	14670 	: 	: 
NAC,MED_E,DEG2,T,Y_GE65,NO	346894 	336875 	333801 	323942 	: 	290280 	286879 b	255243 	245470 	231715 	212361 	191691 	180504 	176440 	170137 	: 
NAC,MED_E,DEG2,T,Y_GE65,PL	26002 	24898 	24600 	23580 	22742 	21900 	20096 b	18170 	17438 	16213 	15240 	13536 	12867 	11867 	: 	: 
NAC,MED_E,DEG2,T,Y_GE65,PT	8660 	8510 	8133 	7917 	8030 	7834 	7968 b	7254 	7218 	6953 	6455 	5870 	5625 	5507 	5130 	: 
NAC,MED_E,DEG2,T,Y_GE65,RO	14751 	12633 	11515 	11133 	10741 	10560 	10196 b	11801 u	11971 u	9856 u	8123 u	6000 u	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE65,RS	360000 	338099 	319000 	325600 	310000 	290667 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE65,SE	207635 	199931 	194012 	193587 	191556 	183320 	183980 b	176741 	175443 	170444 	164444 b	151175 	156483 	141789 	140041 	: 
NAC,MED_E,DEG2,T,Y_GE65,SI	11561 	11691 	11503 	11639 	10959 	10708 	10816 b	10691 	10435 	10337 	9488 	8792 	1920609 	1826712 	: 	: 
NAC,MED_E,DEG2,T,Y_GE65,SK	6877 	6505 	6460 	6400 	6276 	6211 	5855 b	5547 	5316 	4789 	133872 	126064 	112560 	103338 	: 	: 
NAC,MED_E,DEG2,T,Y_GE65,UK	17265 p	17028 b	15609 	15657 	14183 	14104 	13510 b	12551 	13047 	12159 	12081 	11936 	10569 	10038 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,AT	24559 	23907 	22470 	21522 	21546 	20290 	19482 b	18509 	17735 	16924 	17301 b	16134 	16850 	17146 	15040 	15078 
NAC,MED_E,DEG2,T,Y_GE75,BE	17626 	17649 	16739 	16858 	16310 	16250 	14961 b	13900 	14125 	13289 	13118 	12531 	12000 	11798 	11784 	11803 
NAC,MED_E,DEG2,T,Y_GE75,BG	4817 	4621 	4463 b	4428 	5111 	4263 	4087 b	4361 	4965 	3775 	2992 	2384 	2376 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,CH	37906 	38347 	38079 	37068 	35931 b	34945 	34889 b	30790 	31880 	27929 	28709 	29319 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,CY	10619 	10131 	10119 	9797 	9875 	10016 	9975 b	9547 	8853 	8725 	4624 b	4224 	4440 	4130 u	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,CZ	173395 	167907 	164474 	160796 	162475 	161328 	158888 b	152212 	151200 	141723 	131476 	124800 	115676 	111789 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,DE	20333 	19402 	18487 	18464 	18272 	18618 	18575 b	17347 	17458 	16656 	16171 	15026 	13735 	14312 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,DK	170912 	169223 	162823 	166208 	169737 	153832 	156196 b	139923 b	133605 	128917 	125598 	119219 	119091 	116674 	112479 	108464 
NAC,MED_E,DEG2,T,Y_GE75,EA	17734 e	17123 e	16690 e	16372 e	16274 e	16354 e	16073 e	15226 e	14898 e	14480 e	14250 e	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,EA18	17739 	17130 	16695 	16376 	16274 	16336 	16057 	15222 e	14893 e	14475 e	16009 e	15072 e	23351 e	22040 e	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,EA19	17734 e	17123 e	16690 e	16372 e	16265 	16327 	16045 	15222 e	14893 e	14475 e	16009 e	14638 e	23351 e	22040 e	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,EE	5668 	5596 	5115 	4994 	4789 b	4796 	4407 b	: u	: u	: u	: u	: u	: u	: u	: u	: 
NAC,MED_E,DEG2,T,Y_GE75,EL	7775 	7440 	7778 	7640 	7435 	8490 	9790 b	9600 	9860 	10629 	9893 	9987 	9810 	: u	: u	7868 
NAC,MED_E,DEG2,T,Y_GE75,ES	12705 	12495 	13181 	12310 	12352 	11999 	11863 b	11536 	11567 	12068 	10882 b	9029 	7877 	7703 	8304 	: 
NAC,MED_E,DEG2,T,Y_GE75,EU	50294 e	49177 e	41300 e	37303 e	42530 e	42910 e	39992 e	34465 e	35708 e	34604 e	34830 e	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,EU27	50392 e	49279 e	41329 e	37296 e	42573 	42965 	40025 	34476 e	35703 e	34604 e	34830 e	32610 e	36325 e	37010 e	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,EU28	50294 e	49177 e	41300 e	37303 e	42530 	42910 	39992 	34465 e	35708 e	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,FI	18777 	18581 	18331 	17707 	17687 	16949 	15903 b	15791 	16395 	15609 	14604 	15017 	14088 	12626 	12822 	: 
NAC,MED_E,DEG2,T,Y_GE75,FR	20737 	20192 	20025 	19744 	19080 	18548 	18260 b	17348 	16588 	17067 	16370 b	13736 	13647 	13225 	13098 	: 
NAC,MED_E,DEG2,T,Y_GE75,HR	37661 	36658 	37200 	38400 	35853 	34586 	32211 b	32075 	36547 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,HU	1548767 	1442501 	1475370 	1326267 	1401101 	1277140 	1206800 b	1235550 	1191400 	1110428 	1092000 	978861 	895000 	866081 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,IE	18417 p	17288 	17164 	17024 	17553 	17868 	16230 b	17078 	17748 	16596 	17561 	15222 	13492 	12722 	12274 	11157 
NAC,MED_E,DEG2,T,Y_GE75,IS	: 	: 	3132591 	2986533 	2805966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,IT	16195 	15755 	15484 	14699 b	14986 	14930 	14584 	14014 	13839 	13347 	13311 	13092 	12423 	12142 	12036 	: 
NAC,MED_E,DEG2,T,Y_GE75,LT	4088 u	4069 u	3768 u	: u	13260 	13053 	11476 b	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,LU	42282 	39577 	38095 b	35521 	33779 	33814 	33266 b	34586 	33254 	32894 	30360 	29113 	28780 	27145 	25476 	24727 
NAC,MED_E,DEG2,T,Y_GE75,LV	4197 	3951 	4115 	3795 	3740 	3556 	3568 b	3605 u	4146 u	3915 u	3010 u	: u	: u	: u	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,MK	: 	168000 	147600 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,MT	9671 	10167 	9852 	10809 	9649 	9394 	8700 b	8265 	7851 	8120 	6868 	7482 	2831 	2502 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,NL	19059 	18249 	18285 b	18309 	17539 	18114 	17730 b	16513 	16835 	15867 	15163 	13791 	13704 	14535 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,NO	308442 	293951 	278041 	272764 	: 	257906 	240414 b	219096 	213521 	202502 	188711 	174770 	168299 	150818 	143653 	: 
NAC,MED_E,DEG2,T,Y_GE75,PL	25725 	24177 	24005 	23209 	22740 	22758 	20113 b	18550 	17636 	16365 	15588 	13171 	12569 	11794 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,PT	8093 	7980 	7484 	7409 	7617 	7075 	7018 b	6675 	6844 	6291 	5892 	5353 	5027 	4690 	4583 	: 
NAC,MED_E,DEG2,T,Y_GE75,RO	13913 	11967 	11021 	10655 	10440 	10166 	10313 b	: u	: u	: u	: u	: u	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,RS	342000 	305600 	279200 	288000 	277600 	274667 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,SE	180007 	173009 	171841 	169698 	171472 	165503 	157777 b	157114 	151401 	141157 	141107 b	128606 	119662 	131550 	115849 	: 
NAC,MED_E,DEG2,T,Y_GE75,SI	11175 	11261 	10745 	10965 	10629 	10224 	10233 b	9983 	9774 	9607 	8824 	7836 	1810556 	1666231 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,SK	6311 	6126 	6282 	6331 	5936 	5898 	5788 b	5480 	5282 	4733 	129587 	118852 	105404 	95973 	: 	: 
NAC,MED_E,DEG2,T,Y_GE75,UK	15658 p	15499 b	14485 	14836 	13173 	13641 	12574 b	11576 	11513 	11304 	10884 	10722 	9617 	9413 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,AT	22685 	20967 	20024 	19403 	20391 	19868 	19766 b	20127 	19898 	19341 	18392 b	17024 	16172 	15819 	15454 	14464 
NAC,MED_E,DEG2,T,Y_LT18,BE	24745 	23860 	24231 	22206 	22619 	22652 	21086 b	20518 	19762 	19212 	19021 	18174 	18296 	17056 	15416 	16346 
NAC,MED_E,DEG2,T,Y_LT18,BG	6780 	6186 	5431 b	5988 	5579 	5006 	4724 b	4211 	5152 	4849 	4069 	2745 	2660 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,CH	41831 	43052 	43754 	43919 	42389 b	45631 	43694 b	41059 	40856 	39908 	37652 	37324 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,CY	13180 	12608 	11705 	11185 	13437 	14153 	14833 b	14842 	14171 	14471 	8675 b	8987 	8244 	7134 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,CZ	234023 	220797 	200397 	191055 	183363 	178338 	173287 b	178829 	172815 	168847 	155878 	137825 	128784 	124226 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,DE	22598 	21580 	20284 	20178 	19492 	19441 	19511 b	18379 	18041 	17903 	17747 	16646 	14885 	15089 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,DK	226976 	233711 	233691 	241396 	227722 	218203 	200022 b	200663 b	195850 	192985 	185426 	172816 	172588 	170896 	160269 	155488 
NAC,MED_E,DEG2,T,Y_LT18,EA	18474 e	17824 e	17390 e	16897 e	16910 e	16738 e	16604 e	16474 e	16331 e	16165 e	16128 e	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,EA18	18481 	17833 	17396 	16900 	16910 	16719 	16584 	16468 	16323 	16155 	18407 	17810 e	28020 e	26269 e	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,EA19	18474 e	17824 e	17390 e	16897 e	16903 	16709 	16577 	16468 	16323 	16155 	18407 	17209 e	28020 e	26269 e	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,EE	12717 	9100 	8524 	7922 	7447 b	6175 	5576 b	7781 	6715 	6244 	5284 	4963 u	3844 u	3540 u	3169 u	: 
NAC,MED_E,DEG2,T,Y_LT18,EL	7779 	7265 	7005 	6989 	7626 	8020 	10091 b	11905 	14695 	12706 	12011 	10571 	10639 	: u	9451 u	9381 
NAC,MED_E,DEG2,T,Y_LT18,ES	13074 	12741 	11974 	11670 	11147 	11346 	11667 b	11364 	12071 	11964 	11589 b	10191 	9583 	8634 	8477 	: 
NAC,MED_E,DEG2,T,Y_LT18,EU	63545 e	59480 e	48760 e	43899 e	48543 e	47716 e	50563 e	39567 e	40689 e	39850 e	40692 e	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,EU27	63645 e	59592 e	48817 e	43926 e	48614 	47803 	50647 	39565 e	40670 e	39850 e	40692 e	40740 e	48263 e	44747 e	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,EU28	63545 e	59480 e	48760 e	43899 e	48543 	47716 	50565 	39567 e	40689 e	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,FI	22432 	23030 	22853 	23130 	22689 	23034 	23295 b	22031 	21457 	21379 	19626 	19159 	19223 	17544 	16383 	: 
NAC,MED_E,DEG2,T,Y_LT18,FR	19207 	18968 	19599 	18675 	19323 	18325 	18729 b	19002 	19057 	18585 	17843 b	16051 	15746 	15185 	14737 	: 
NAC,MED_E,DEG2,T,Y_LT18,HR	50349 	45652 	41667 	40393 	39329 	36657 	37500 b	39988 	43794 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,HU	1508353 	1320367 	1329233 	1306165 	1182468 	1169893 	1272382 b	1116802 	1080311 	1082745 	1003877 	1010000 	943566 	813500 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,IE	21288 p	19357 	19888 	18155 	17864 	17991 	17265 b	17516 	17700 	19520 	22175 	20280 	17567 	16826 	16355 	15538 
NAC,MED_E,DEG2,T,Y_LT18,IS	: 	: 	3477330 	3344738 	3101477 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,IT	14833 	14437 	14299 	13941 b	14384 	14038 	14026 	14285 	13828 	13829 	14130 	14267 	13244 	12704 	12030 	: 
NAC,MED_E,DEG2,T,Y_LT18,LT	7149 u	4983 u	6375 u	: u	14452 	13041 	13935 b	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,LU	33151 	27593 	25187 b	28657 	25367 	24018 	24661 b	33890 	32684 	33232 	33473 	32094 	32068 	30547 	27524 	25786 
NAC,MED_E,DEG2,T,Y_LT18,LV	7517 	6442 	6498 	5541 	5079 	4360 	5075 b	4925 	4915 	7080 	6396 	3444 u	2311 u	2362 u	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,MK	: 	132783 	124786 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,MT	15559 	13601 	13471 	12678 	10769 	10149 	9599 b	9048 	7995 	7999 	7930 	7620 	3018 	2982 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,NL	24765 	23419 	22202 b	20922 	20070 	19614 	19459 b	18093 	17940 	17619 	17142 	16055 	15499 	15032 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,NO	363504 	342832 	345130 	335700 	: 	287368 	288355 b	270088 	259502 	248932 	240138 	222868 	214144 	205248 	201203 	: 
NAC,MED_E,DEG2,T,Y_LT18,PL	29044 	26443 	24568 	22910 	22146 	21211 	20225 b	18213 	17080 	15478 	13514 	11685 	10472 	9685 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,PT	9175 	8607 	8228 	8389 	8093 	7648 	7760 b	7407 	7368 	6802 	6987 	6663 	6430 	6254 	5866 	: 
NAC,MED_E,DEG2,T,Y_LT18,RO	14753 	11460 	10422 	9723 	8902 	8355 	8575 b	8533 u	6697 u	8069 u	8103 u	6697 u	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,RS	320000 	308571 	290909 	264000 	262250 	248914 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,SE	234446 	231410 	229689 	227188 	210738 	216800 	222085 b	219723 	210700 	200156 	187279 b	170045 	162508 	166475 	154242 	: 
NAC,MED_E,DEG2,T,Y_LT18,SI	13223 	12860 	12449 	12352 	12122 	12094 	12250 b	11725 	12010 	11704 	11005 	9883 	2196706 	2090893 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,SK	6773 	6427 	6133 	6063 	6085 	6210 	6295 b	5731 	5553 	5237 	149561 	140356 	122564 	108213 	: 	: 
NAC,MED_E,DEG2,T,Y_LT18,UK	16797 p	16890 b	15871 	15905 	15296 	14244 	14014 b	13662 	14588 	14452 	14449 	13965 	13654 	13731 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,AT	24914 	24563 	23458 	23306 	22932 	21688 	21521 b	20557 	20419 	19606 	18520 b	17363 	16904 	16503 	16310 	14768 
NAC,MED_E,DEG3,F,TOTAL,BE	23240 	22600 	21878 	21283 	21281 	20987 	19766 b	19059 	17274 	19705 	16792 	16018 	16440 	15572 	15771 	13612 
NAC,MED_E,DEG3,F,TOTAL,BG	5147 	5078 	4571 b	4776 	4970 	4253 	4086 b	4454 	4654 	4565 	3608 	2504 	2301 	: 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,CH	45335 	44110 	44100 	44224 	42417 b	45027 	45370 b	42104 	41221 	39866 	39525 	38934 	: 	: 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,CY	13817 	12587 	12573 	12040 	13045 	14149 	15647 b	14860 	14471 	14775 	8347 b	8415 	7591 	7108 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,CZ	230348 	219860 	209007 	194240 	185752 	183113 	180457 b	177778 	173151 	170432 	159269 	143860 	135412 	128663 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,DE	22005 	21184 	20878 	19942 	19176 	18530 	18355 b	17019 	16633 	16715 	16085 	16090 	15021 	15153 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,DK	214798 	211066 	205569 	200992 	199673 	202123 	199183 b	187568 b	175980 	172612 	166423 	159974 	162482 	153825 	149985 	146513 
NAC,MED_E,DEG3,F,TOTAL,EA	17914 e	17448 e	16919 e	16589 e	16263 e	16147 e	16273 e	14813 e	15046 e	14782 e	14563 e	: 	: 	: 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,EA18	18139 e	17679 e	17150 e	16833 e	16263 e	16007 e	16135 e	14628 e	14750 e	14505 e	18857 e	15609 e	47460 e	43649 e	: 	: 
NAC,MED_E,DEG3,F,TOTAL,EA19	17914 e	17448 e	16919 e	16589 e	16228 e	15958 e	16074 e	14539 e	14672 e	14475 e	18648 e	17008 e	46254 e	42527 e	: 	: 
NAC,MED_E,DEG3,F,TOTAL,EE	9153 	8453 	7792 	7267 	6565 b	5962 	5290 b	5117 	5179 	5422 	4879 	3959 	3233 	2651 	2329 	: 
NAC,MED_E,DEG3,F,TOTAL,EL	6733 	6713 	6480 	6476 	6600 	7153 	8226 b	9496 	10238 	9905 	9296 	8477 	8227 	8452 	7769 	6629 
NAC,MED_E,DEG3,F,TOTAL,ES	12525 	12054 	11668 	11291 	11093 	11478 	11643 b	11762 	12704 	12743 	12058 b	9574 	8961 	8483 	8351 	: 
NAC,MED_E,DEG3,F,TOTAL,EU	64319 e	60105 e	71463 e	70227 e	61593 e	57360 e	59225 e	69528 e	67616 e	68499 e	66336 e	: 	: 	: 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,EU27	64570 e	60345 e	71894 e	70711 e	61995 e	57700 e	59607 e	70082 e	68117 e	68499 e	66336 e	63677 e	74694 e	70048 e	: 	: 
NAC,MED_E,DEG3,F,TOTAL,EU28	64319 e	60105 e	71463 e	70227 e	61593 e	57360 e	59227 e	69528 e	67616 e	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,FI	23095 	22614 	22211 	22683 	22051 	21979 	21482 b	20655 	20112 	19376 	18419 	17309 	17066 	16431 	15568 	: 
NAC,MED_E,DEG3,F,TOTAL,FR	21613 	21452 	20649 	20743 	20391 	20231 	19953 b	18652 	18775 	18151 	17769 b	15384 	14845 	14088 	13807 	: 
NAC,MED_E,DEG3,F,TOTAL,HR	43040 	40080 	37800 	36000 	34400 	33330 	34700 b	35776 	36114 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,HU	1468192 	1366545 	1309100 	1248753 	1187270 	1125701 	1123886 b	1080000 	1044867 	1054648 	986028 	922278 	828290 	779813 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,IE	24272 p	22037 	20705 	20507 	19066 	18136 	17882 b	17692 	18336 	19311 	19874 	19231 	16986 	15715 	15358 	15547 
NAC,MED_E,DEG3,F,TOTAL,IS	: 	: 	3974436 	3667583 	3526133 	3226743 	2988645 b	2898277 	2902591 	2904447 	2541584 	2269204 	1998389 	1903914 	1828842 	: 
NAC,MED_E,DEG3,F,TOTAL,IT	15670 	15423 	15140 	14753 b	13339 	13563 	13886 	14306 	14190 	13874 	13784 	13109 	12528 	12478 	11783 	: 
NAC,MED_E,DEG3,F,TOTAL,LT	5693 	5063 	4598 	4350 	14131 	13139 	12488 b	11380 	12006 	13469 	11664 	9503 	7154 	5911 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,LU	41671 	37508 	36321 b	37304 	36194 	35811 	34476 b	31810 	31526 	32513 	30140 	30053 	30275 	28996 	27601 	26163 
NAC,MED_E,DEG3,F,TOTAL,LV	6427 	5587 	5345 	4981 	4513 	4038 	3839 b	3742 	3960 	4560 	3796 	2740 	1942 	1742 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,MK	: 	133400 	119857 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,MT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 
NAC,MED_E,DEG3,F,TOTAL,NL	23256 	22984 	22432 b	20910 	19712 	19996 	19719 b	18553 	20488 	19277 	17582 	16753 	15902 	15848 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,NO	348381 	334487 	333649 	325793 	: 	301447 	293341 b	274579 	264420 	260113 	240318 	218081 	205560 	202050 	199230 	: 
NAC,MED_E,DEG3,F,TOTAL,PL	24109 	22832 	21154 	19948 	18800 	18228 	17740 b	17353 	16307 	15416 	13722 	11955 	10679 	9852 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,PT	8000 	7980 	7540 	7127 	7039 	7075 	6854 b	7337 	7421 	7104 	7155 	6775 	6414 	6267 	5774 	: 
NAC,MED_E,DEG3,F,TOTAL,RO	10821 	8860 	7724 	7133 	6955 	6977 	6198 b	7080 	6916 	6159 	5015 	4215 	: 	: 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,RS	276000 	246552 	227400 	208000 	200583 	211200 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,SE	226197 	217149 	224713 	217722 	212343 	209615 	204130 b	194250 	188686 	184055 	176207 b	166225 	158625 	152626 	149397 	: 
NAC,MED_E,DEG3,F,TOTAL,SI	12802 	12279 	11838 	11892 	11360 	11291 	11555 b	11399 	11013 	11195 	10263 	9307 	2121657 	2014201 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,SK	7187 	6793 	6463 	6409 	6256 	6309 	6284 b	5803 	5549 	5080 	146064 	136377 	117009 	101871 	: 	: 
NAC,MED_E,DEG3,F,TOTAL,UK	18248 p	19384 b	18126 	17638 	17465 	16524 	16558 b	15269 	14727 	14525 	14978 	14988 	13543 	12725 	: 	: 
NAC,MED_E,DEG3,F,Y18-64,AT	26955 	26869 	25249 	24991 	24885 	23500 	23404 b	22202 	22145 	21315 	20146 b	18653 	18100 	17674 	17264 	15775 
NAC,MED_E,DEG3,F,Y18-64,BE	24014 	23932 	23995 	23263 	22810 	22513 	21200 b	20198 	19626 	20930 	18414 	17125 	18599 	16429 	16769 	15618 
NAC,MED_E,DEG3,F,Y18-64,BG	5852 	5763 	4987 b	5259 	5316 	4796 	4821 b	5021 	5164 	5200 	4022 	2807 	2506 	: 	: 	: 
NAC,MED_E,DEG3,F,Y18-64,CH	48171 	48740 	48923 	48448 	47967 b	50815 	50456 b	45984 	45315 	43961 	42537 	42093 	: 	: 	: 	: 
NAC,MED_E,DEG3,F,Y18-64,CY	14676 	13534 	13590 	12906 	13590 	14791 	16393 b	15648 	15292 	15802 	9011 b	9185 	8243 	7619 	: 	: 
NAC,MED_E,DEG3,F,Y18-64,CZ	249956 	235043 	224523 	207567 	197639 	194982 	192868 b	191434 	186254 	182057 	170515 	153700 	144360 	136262 	: 	: 
NAC,MED_E,DEG3,F,Y18-64,DE	23469 	22900 	22234 	21192 	20108 	19644 	19487 b	17655 	17789 	17797 	17073 	17348 	15568 	16083 	: 	: 
NAC,MED_E,DEG3,F,Y18-64,DK	233996 	233070 	228262 	223920 	219399 	220067 	218460 b	205077 b	195444 	191500 	185263 	179285 	178394 	168920 	161202 	161268 
NAC,MED_E,DEG3,F,Y18-64,EA	18882 e	18444 e	17800 e	17484 e	17048 e	16922 e	17236 e	15652 e	16038 e	15794 e	15552 e	: 	: 	: 	: 	: 
