unit,indic_il,deg_urb,sex,age,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
EUR,MED_E,DEG1,F,Y18-64,HU	6102 	5937 	5891 	5632 	5340 	5216 	5511 b	5544 	5138 	5552 	5112 	4763 	4809 	4217 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,IE	27191 p	25368 	25040 	23615 	22476 	23318 	24090 b	22794 	24006 	26363 	28755 	27844 	25025 	22985 	21283 	20113 
EUR,MED_E,DEG1,F,Y18-64,IS	: 	: 	31263 	26138 	24059 	22474 	20752 b	20231 	19133 	24080 	36519 	31806 	30882 	25672 	23590 	: 
EUR,MED_E,DEG1,F,Y18-64,IT	17512 	17206 	16783 	16620 b	16572 	16563 	16909 	17149 	17379 	16779 	16728 	16101 	15702 	15606 	14879 	: 
EUR,MED_E,DEG1,F,Y18-64,LT	8783 	8343 	7919 	7175 	6226 	6116 	5674 b	4878 	5054 	6042 	5199 	4164 	3315 	2738 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,LU	41973 	39719 	37138 b	36853 	36958 	35764 	37439 b	30015 	29494 	29013 	27955 	27019 	27486 	26627 	26008 	24505 
EUR,MED_E,DEG1,F,Y18-64,LV	9098 	8270 	7613 	7059 	6390 	5728 	5118 b	4824 	5416 	6443 	5906 	4360 	3408 	2595 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,MK	: 	2697 	2543 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,MT	16037 	15971 	14849 	14601 	13664 	12840 	12093 b	11487 	10967 	11221 	10758 	9829 	9759 	9246 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,NL	24126 	24259 	22897 b	21313 	21604 	20807 	20414 b	21414 	21273 	21156 	20564 	19293 	18196 	17920 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,NO	39484 	38471 	39915 	41998 	: 	45593 	42554 b	39513 	35183 	35703 	33987 	31152 	29697 	27460 	28499 	: 
EUR,MED_E,DEG1,F,Y18-64,PL	7684 	7156 	7111 	6772 	6544 	6222 	6223 b	6138 	5411 	6337 	5116 	4271 	3847 	3066 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,PT	10456 	10140 	9797 	9212 	9238 	9149 	9600 b	9874 	10368 	9854 	9806 	9252 	8876 	8786 	8562 	: 
EUR,MED_E,DEG1,F,Y18-64,RO	5047 	3892 	3406 	3077 	3019 	2628 	2879 b	2893 	2864 	3050 	2869 	2294 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,RS	3264 	3070 	2982 	3160 	3123 	3153 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,SE	28466 	28232 	27297 	26805 	27329 	26879 	25919 b	22696 	20137 	22818 	22610 b	21402 	20583 	19733 	19389 	: 
EUR,MED_E,DEG1,F,Y18-64,SI	13706 	13045 	12880 	13092 	12808 	12603 	13157 b	13543 	13189 	13047 	12154 	11374 	10607 	9851 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,SK	9253 	8627 	8278 	7893 	7813 	7795 	8414 b	7576 	7569 	7006 	5670 	4628 	3902 	3166 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,UK	21773 p	21560 b	21768 	21673 	20663 	19495 	20108 b	17745 	17842 	17052 	20253 	22643 	21057 	19978 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,AT	24441 	24306 	22898 	23143 	22981 	21331 	20636 b	20949 	20953 	20736 	19113 b	18455 	18500 	19068 	17260 	16333 
EUR,MED_E,DEG1,F,Y_GE18,BE	20769 	19734 	18793 	18980 	19241 	18787 	17600 b	18723 	18550 	18723 	16931 	16504 	16075 	15533 	15209 	14575 
EUR,MED_E,DEG1,F,Y_GE18,BG	4302 	4430 	3935 b	4021 	4050 	3670 	3395 b	3642 	3735 	3277 	2597 	1689 	1628 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,CH	43316 	43411 	43917 	39309 	38370 b	40050 	38681 b	34312 	31368 	29820 	28214 	29012 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,CY	16697 	15891 	15476 	14996 	15211 	16702 	17627 b	17471 	17087 	17036 	17011 b	16416 	15114 	13844 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,CZ	9013 	8209 	7831 	7653 	7934 	8034 	8142 b	7738 	7541 	7701 	6181 	5739 	5016 	4405 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,DE	21511 	21012 	20441 	19783 	19028 	18851 	18673 b	19160 	18854 	18522 	18245 	17687 	15681 	16760 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,DK	28880 	28958 	26996 	26996 	27181 	25394 	26372 b	26630 b	24689 	24326 	22792 	22916 	21812 	21215 	20473 	20298 
EUR,MED_E,DEG1,F,Y_GE18,EA	19348 	18976 e	18441 e	17944 e	17729 e	17675 e	17635 e	17839 e	17974 e	17702 e	17349 e	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,EA18	19458 	19088 	18558 	18068 	17729 	17586 	17538 	17746 	17830 	17567 	17092 	15741 	14899 	14961 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,EA19	19348 	18976 	18441 	17944 	17609 	17465 	17414 	17627 	17711 	17458 	16978 	15633 	14784 	14840 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,EE	10399 	9889 	8963 	8288 	7296 b	6872 	6298 b	5631 	5937 	6447 	5714 	4490 	3778 	3135 	2665 	: 
EUR,MED_E,DEG1,F,Y_GE18,EL	8500 	8387 	8253 	8270 	8384 	8700 	10040 b	11565 	13476 	12400 	12133 	11420 	10736 	10490 	10020 	9467 
EUR,MED_E,DEG1,F,Y_GE18,ES	16100 	15552 	14845 	14808 	14871 	15398 	15466 b	15653 	16322 	16201 	15428 b	12788 	12157 	11523 	11544 	: 
EUR,MED_E,DEG1,F,Y_GE18,EU	17970 	17636 e	17222 e	16701 e	16410 e	16056 e	16012 e	15697 e	15656 e	15515 e	15480 e	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,EU27	18031 	17697 	17282 	16757 	16466 	16111 	16072 	15756 	15710 	15515 	15480 	14914 	13887 e	13440 e	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,EU28	17970 	17636 	17222 	16701 	16410 	16056 	16012 	15697 	15656 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,FI	25477 	24828 	24599 	24296 	24191 	23656 	23851 b	23060 	22918 	22147 	20905 	19715 	19019 	18398 	17885 	: 
EUR,MED_E,DEG1,F,Y_GE18,FR	23086 	23056 	22833 	22250 	21961 	21707 	21580 b	20362 	20242 	20172 	19489 b	16766 	16691 	16669 	15762 	: 
EUR,MED_E,DEG1,F,Y_GE18,HR	7610 	7168 	6616 	6445 	5938 	6275 	6329 b	6304 	6743 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,HU	5886 	5786 	5696 	5530 	5275 	5151 	5324 b	5298 	5028 	5498 	5021 	4546 	4570 	4089 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,IE	26750 p	24588 	24633 	23615 	22465 	23120 	23377 b	22521 	23477 	25475 	27609 	26141 	23541 	21975 	20278 	19061 
EUR,MED_E,DEG1,F,Y_GE18,IS	: 	: 	30502 	25674 	23454 	21915 	20075 b	19717 	18845 	23476 	34646 	30327 	29854 	24494 	22726 	: 
EUR,MED_E,DEG1,F,Y_GE18,IT	17519 	17245 	16983 	16545 b	16385 	16259 	16520 	16496 	16671 	16038 	16023 	15407 	14980 	14798 	14293 	: 
